 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 27, 2024 
 ==================================================================

 Disk File Name = range/3he/110Ag_in_3he.txt

 Ion = Silver       [47] , Mass = 109.9061 amu

 Density =  1.3500E-04 g/cm3 = 2.6955E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Silver       [47] , Mass = 109.9061 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.514E-01  3.875E+00   39.74 um     5.09 um     3.46 um  
   1.10 keV   2.636E-01  4.058E+00   41.44 um     5.30 um     3.60 um  
   1.20 keV   2.754E-01  4.230E+00   43.07 um     5.49 um     3.74 um  
   1.30 keV   2.866E-01  4.393E+00   44.64 um     5.67 um     3.87 um  
   1.40 keV   2.974E-01  4.547E+00   46.15 um     5.84 um     3.99 um  
   1.50 keV   3.079E-01  4.695E+00   47.61 um     6.01 um     4.11 um  
   1.60 keV   3.180E-01  4.835E+00   49.03 um     6.17 um     4.23 um  
   1.70 keV   3.278E-01  4.970E+00   50.41 um     6.33 um     4.35 um  
   1.80 keV   3.373E-01  5.100E+00   51.75 um     6.48 um     4.46 um  
   2.00 keV   3.555E-01  5.344E+00   54.34 um     6.77 um     4.67 um  
   2.25 keV   3.771E-01  5.626E+00   57.42 um     7.11 um     4.93 um  
   2.50 keV   3.975E-01  5.886E+00   60.35 um     7.43 um     5.17 um  
   2.75 keV   4.169E-01  6.127E+00   63.16 um     7.73 um     5.41 um  
   3.00 keV   4.354E-01  6.352E+00   65.87 um     8.02 um     5.63 um  
   3.25 keV   4.532E-01  6.563E+00   68.48 um     8.29 um     5.84 um  
   3.50 keV   4.703E-01  6.761E+00   71.01 um     8.55 um     6.05 um  
