 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 27, 2024 
 ==================================================================

 Disk File Name = range/3he/113Cd_in_3he.txt

 Ion = Cadmium      [48] , Mass = 112.9044 amu

 Density =  1.3500E-04 g/cm3 = 2.6955E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Cadmium      [48] , Mass = 112.9044 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.579E-01  3.852E+00   41.27 um     5.31 um     3.60 um  
   1.10 keV   1.657E-01  4.034E+00   43.02 um     5.52 um     3.75 um  
   1.20 keV   1.730E-01  4.206E+00   44.70 um     5.72 um     3.89 um  
   1.30 keV   1.801E-01  4.369E+00   46.31 um     5.90 um     4.02 um  
   1.40 keV   1.869E-01  4.524E+00   47.86 um     6.08 um     4.15 um  
   1.50 keV   1.934E-01  4.672E+00   49.37 um     6.26 um     4.28 um  
   1.60 keV   1.998E-01  4.813E+00   50.82 um     6.42 um     4.40 um  
   1.70 keV   2.059E-01  4.948E+00   52.24 um     6.58 um     4.52 um  
   1.80 keV   2.119E-01  5.078E+00   53.62 um     6.74 um     4.63 um  
   2.00 keV   2.234E-01  5.323E+00   56.28 um     7.04 um     4.85 um  
   2.25 keV   2.369E-01  5.607E+00   59.44 um     7.39 um     5.11 um  
   2.50 keV   2.497E-01  5.868E+00   62.45 um     7.72 um     5.36 um  
   2.75 keV   2.619E-01  6.110E+00   65.34 um     8.03 um     5.60 um  
   3.00 keV   2.736E-01  6.337E+00   68.11 um     8.32 um     5.83 um  
   3.25 keV   2.847E-01  6.549E+00   70.80 um     8.61 um     6.05 um  
   3.50 keV   2.955E-01  6.749E+00   73.40 um     8.88 um     6.27 um  
