 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 27, 2024 
 ==================================================================

 Disk File Name = range/3he/125Ce_in_3he.txt

 Ion = Cerium       [58] , Mass = 124.9284 amu

 Density =  1.3500E-04 g/cm3 = 2.6955E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Cerium       [58] , Mass = 124.9284 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.415E-01  3.868E+00   42.57 um     5.29 um     3.57 um  
   1.10 keV   1.484E-01  4.058E+00   44.32 um     5.50 um     3.71 um  
   1.20 keV   1.550E-01  4.238E+00   46.00 um     5.69 um     3.85 um  
   1.30 keV   1.614E-01  4.409E+00   47.61 um     5.88 um     3.98 um  
   1.40 keV   1.675E-01  4.572E+00   49.15 um     6.05 um     4.10 um  
   1.50 keV   1.733E-01  4.728E+00   50.65 um     6.22 um     4.22 um  
   1.60 keV   1.790E-01  4.877E+00   52.10 um     6.38 um     4.33 um  
   1.70 keV   1.845E-01  5.020E+00   53.50 um     6.54 um     4.45 um  
   1.80 keV   1.899E-01  5.158E+00   54.87 um     6.69 um     4.56 um  
   2.00 keV   2.002E-01  5.419E+00   57.50 um     6.98 um     4.76 um  
   2.25 keV   2.123E-01  5.721E+00   60.63 um     7.33 um     5.01 um  
   2.50 keV   2.238E-01  6.002E+00   63.59 um     7.65 um     5.25 um  
   2.75 keV   2.347E-01  6.263E+00   66.43 um     7.95 um     5.47 um  
   3.00 keV   2.451E-01  6.508E+00   69.16 um     8.24 um     5.69 um  
   3.25 keV   2.552E-01  6.739E+00   71.78 um     8.51 um     5.89 um  
   3.50 keV   2.648E-01  6.957E+00   74.33 um     8.78 um     6.09 um  
