 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 27, 2024 
 ==================================================================

 Disk File Name = range/3he/127Pr_in_3he.txt

 Ion = Praseodymium [59] , Mass = 126.9307 amu

 Density =  1.3500E-04 g/cm3 = 2.6955E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Praseodymium [59] , Mass = 126.9307 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.423E-01  3.856E+00   42.83 um     5.29 um     3.57 um  
   1.10 keV   1.493E-01  4.046E+00   44.59 um     5.49 um     3.71 um  
   1.20 keV   1.559E-01  4.226E+00   46.27 um     5.69 um     3.84 um  
   1.30 keV   1.623E-01  4.398E+00   47.88 um     5.87 um     3.97 um  
   1.40 keV   1.684E-01  4.561E+00   49.44 um     6.05 um     4.09 um  
   1.50 keV   1.743E-01  4.717E+00   50.94 um     6.22 um     4.21 um  
   1.60 keV   1.800E-01  4.866E+00   52.39 um     6.38 um     4.33 um  
   1.70 keV   1.856E-01  5.010E+00   53.80 um     6.53 um     4.44 um  
   1.80 keV   1.909E-01  5.148E+00   55.17 um     6.69 um     4.55 um  
   2.00 keV   2.013E-01  5.410E+00   57.80 um     6.98 um     4.75 um  
   2.25 keV   2.135E-01  5.713E+00   60.93 um     7.32 um     5.00 um  
   2.50 keV   2.250E-01  5.995E+00   63.90 um     7.64 um     5.23 um  
   2.75 keV   2.360E-01  6.257E+00   66.74 um     7.94 um     5.46 um  
   3.00 keV   2.465E-01  6.503E+00   69.47 um     8.23 um     5.67 um  
   3.25 keV   2.566E-01  6.735E+00   72.10 um     8.50 um     5.88 um  
   3.50 keV   2.663E-01  6.954E+00   74.64 um     8.76 um     6.08 um  
