 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 27, 2024 
 ==================================================================

 Disk File Name = range/3he/141I_in_3he.txt

 Ion = Iodine       [53] , Mass = 140.9357 amu

 Density =  1.3500E-04 g/cm3 = 2.6955E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Iodine       [53] , Mass = 140.9357 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.526E-01  3.570E+00   44.52 um     5.11 um     3.43 um  
   1.10 keV   2.649E-01  3.746E+00   46.37 um     5.31 um     3.57 um  
   1.20 keV   2.767E-01  3.912E+00   48.13 um     5.50 um     3.70 um  
   1.30 keV   2.880E-01  4.070E+00   49.83 um     5.68 um     3.83 um  
   1.40 keV   2.989E-01  4.221E+00   51.46 um     5.85 um     3.95 um  
   1.50 keV   3.094E-01  4.365E+00   53.03 um     6.02 um     4.06 um  
   1.60 keV   3.195E-01  4.503E+00   54.56 um     6.18 um     4.18 um  
   1.70 keV   3.293E-01  4.635E+00   56.04 um     6.33 um     4.28 um  
   1.80 keV   3.389E-01  4.762E+00   57.47 um     6.48 um     4.39 um  
   2.00 keV   3.572E-01  5.004E+00   60.24 um     6.76 um     4.59 um  
   2.25 keV   3.789E-01  5.284E+00   63.53 um     7.10 um     4.83 um  
   2.50 keV   3.994E-01  5.543E+00   66.65 um     7.42 um     5.06 um  
   2.75 keV   4.189E-01  5.785E+00   69.63 um     7.71 um     5.28 um  
   3.00 keV   4.375E-01  6.012E+00   72.50 um     8.00 um     5.49 um  
   3.25 keV   4.554E-01  6.226E+00   75.26 um     8.26 um     5.69 um  
   3.50 keV   4.726E-01  6.428E+00   77.93 um     8.52 um     5.89 um  
