 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 27, 2024 
 ==================================================================

 Disk File Name = range/3he/154Lu_in_3he.txt

 Ion = Lutetium     [71] , Mass = 153.9574 amu

 Density =  1.3500E-04 g/cm3 = 2.6955E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Lutetium     [71] , Mass = 153.9574 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.557E-01  3.669E+00   43.48 um     4.75 um     3.19 um  
   1.10 keV   3.731E-01  3.858E+00   45.24 um     4.94 um     3.31 um  
   1.20 keV   3.896E-01  4.038E+00   46.91 um     5.12 um     3.43 um  
   1.30 keV   4.056E-01  4.209E+00   48.52 um     5.29 um     3.54 um  
   1.40 keV   4.209E-01  4.372E+00   50.06 um     5.45 um     3.65 um  
   1.50 keV   4.356E-01  4.529E+00   51.54 um     5.60 um     3.76 um  
   1.60 keV   4.499E-01  4.679E+00   52.98 um     5.75 um     3.86 um  
   1.70 keV   4.638E-01  4.824E+00   54.37 um     5.89 um     3.95 um  
   1.80 keV   4.772E-01  4.964E+00   55.73 um     6.02 um     4.05 um  
   2.00 keV   5.030E-01  5.230E+00   58.32 um     6.29 um     4.23 um  
   2.25 keV   5.335E-01  5.540E+00   61.39 um     6.60 um     4.44 um  
   2.50 keV   5.624E-01  5.828E+00   64.31 um     6.89 um     4.65 um  
   2.75 keV   5.899E-01  6.099E+00   67.08 um     7.17 um     4.84 um  
   3.00 keV   6.161E-01  6.353E+00   69.74 um     7.43 um     5.02 um  
   3.25 keV   6.412E-01  6.594E+00   72.29 um     7.67 um     5.20 um  
   3.50 keV   6.655E-01  6.823E+00   74.76 um     7.91 um     5.37 um  
