 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 27, 2024 
 ==================================================================

 Disk File Name = range/3he/158Dy_in_3he.txt

 Ion = Dysprosium   [66] , Mass = 157.9244 amu

 Density =  1.3500E-04 g/cm3 = 2.6955E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Dysprosium   [66] , Mass = 157.9244 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.426E-01  3.563E+00   44.65 um     4.82 um     3.23 um  
   1.10 keV   3.593E-01  3.745E+00   46.46 um     5.01 um     3.35 um  
   1.20 keV   3.753E-01  3.918E+00   48.19 um     5.19 um     3.47 um  
   1.30 keV   3.906E-01  4.083E+00   49.85 um     5.36 um     3.59 um  
   1.40 keV   4.054E-01  4.241E+00   51.44 um     5.52 um     3.70 um  
   1.50 keV   4.196E-01  4.392E+00   52.97 um     5.68 um     3.81 um  
   1.60 keV   4.334E-01  4.537E+00   54.46 um     5.83 um     3.91 um  
   1.70 keV   4.467E-01  4.676E+00   55.89 um     5.97 um     4.01 um  
   1.80 keV   4.597E-01  4.811E+00   57.29 um     6.11 um     4.10 um  
   2.00 keV   4.845E-01  5.067E+00   59.97 um     6.38 um     4.29 um  
   2.25 keV   5.139E-01  5.365E+00   63.15 um     6.69 um     4.51 um  
   2.50 keV   5.417E-01  5.642E+00   66.16 um     6.99 um     4.71 um  
   2.75 keV   5.682E-01  5.902E+00   69.03 um     7.27 um     4.91 um  
   3.00 keV   5.934E-01  6.146E+00   71.78 um     7.53 um     5.10 um  
   3.25 keV   6.177E-01  6.377E+00   74.42 um     7.78 um     5.28 um  
   3.50 keV   6.410E-01  6.596E+00   76.97 um     8.02 um     5.45 um  
