 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 27, 2024 
 ==================================================================

 Disk File Name = range/3he/160Eu_in_3he.txt

 Ion = Europium     [63] , Mass = 159.9318 amu

 Density =  1.3500E-04 g/cm3 = 2.6955E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Europium     [63] , Mass = 159.9318 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.754E-01  3.502E+00   46.23 um     5.01 um     3.36 um  
   1.10 keV   2.888E-01  3.681E+00   48.10 um     5.21 um     3.49 um  
   1.20 keV   3.016E-01  3.851E+00   49.88 um     5.39 um     3.61 um  
   1.30 keV   3.140E-01  4.012E+00   51.59 um     5.57 um     3.73 um  
   1.40 keV   3.258E-01  4.166E+00   53.24 um     5.73 um     3.84 um  
   1.50 keV   3.373E-01  4.314E+00   54.83 um     5.90 um     3.95 um  
   1.60 keV   3.483E-01  4.455E+00   56.36 um     6.05 um     4.06 um  
   1.70 keV   3.590E-01  4.592E+00   57.85 um     6.20 um     4.16 um  
   1.80 keV   3.694E-01  4.723E+00   59.30 um     6.34 um     4.26 um  
   2.00 keV   3.894E-01  4.973E+00   62.07 um     6.62 um     4.45 um  
   2.25 keV   4.130E-01  5.264E+00   65.36 um     6.95 um     4.68 um  
   2.50 keV   4.354E-01  5.535E+00   68.47 um     7.25 um     4.90 um  
   2.75 keV   4.566E-01  5.788E+00   71.45 um     7.54 um     5.10 um  
   3.00 keV   4.769E-01  6.026E+00   74.30 um     7.81 um     5.30 um  
   3.25 keV   4.964E-01  6.251E+00   77.04 um     8.07 um     5.48 um  
   3.50 keV   5.152E-01  6.465E+00   79.68 um     8.32 um     5.67 um  
