 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 27, 2024 
 ==================================================================

 Disk File Name = range/3he/208Ac_in_3he.txt

 Ion = Actinium     [89] , Mass = 208.0116 amu

 Density =  1.3500E-04 g/cm3 = 2.6955E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Actinium     [89] , Mass = 208.0116 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.967E-01  3.292E+00   49.19 um     4.63 um     3.09 um  
   1.10 keV   4.160E-01  3.470E+00   51.11 um     4.81 um     3.21 um  
   1.20 keV   4.345E-01  3.640E+00   52.94 um     4.98 um     3.32 um  
   1.30 keV   4.523E-01  3.803E+00   54.69 um     5.14 um     3.43 um  
   1.40 keV   4.694E-01  3.959E+00   56.37 um     5.30 um     3.53 um  
   1.50 keV   4.858E-01  4.108E+00   57.99 um     5.45 um     3.63 um  
   1.60 keV   5.018E-01  4.253E+00   59.55 um     5.59 um     3.72 um  
   1.70 keV   5.172E-01  4.392E+00   61.06 um     5.72 um     3.81 um  
   1.80 keV   5.322E-01  4.527E+00   62.52 um     5.86 um     3.90 um  
   2.00 keV   5.610E-01  4.785E+00   65.32 um     6.11 um     4.07 um  
   2.25 keV   5.950E-01  5.087E+00   68.63 um     6.41 um     4.26 um  
   2.50 keV   6.272E-01  5.370E+00   71.75 um     6.70 um     4.45 um  
   2.75 keV   6.578E-01  5.637E+00   74.71 um     6.96 um     4.63 um  
   3.00 keV   6.871E-01  5.889E+00   77.55 um     7.21 um     4.80 um  
   3.25 keV   7.151E-01  6.129E+00   80.27 um     7.45 um     4.96 um  
   3.50 keV   7.421E-01  6.357E+00   82.88 um     7.67 um     5.11 um  
