 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 27, 2024 
 ==================================================================

 Disk File Name = range/3he/213Po_in_3he.txt

 Ion = Polonium     [84] , Mass = 212.9929 amu

 Density =  1.3500E-04 g/cm3 = 2.6955E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Polonium     [84] , Mass = 212.9929 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    4.092E-01  3.215E+00   49.86 um     4.62 um     3.08 um  
   1.10 keV   4.292E-01  3.388E+00   51.82 um     4.80 um     3.20 um  
   1.20 keV   4.483E-01  3.553E+00   53.69 um     4.97 um     3.31 um  
   1.30 keV   4.666E-01  3.711E+00   55.47 um     5.13 um     3.42 um  
   1.40 keV   4.842E-01  3.863E+00   57.18 um     5.29 um     3.52 um  
   1.50 keV   5.012E-01  4.009E+00   58.83 um     5.43 um     3.61 um  
   1.60 keV   5.176E-01  4.149E+00   60.42 um     5.58 um     3.71 um  
   1.70 keV   5.335E-01  4.284E+00   61.95 um     5.71 um     3.80 um  
   1.80 keV   5.490E-01  4.416E+00   63.45 um     5.85 um     3.89 um  
   2.00 keV   5.787E-01  4.666E+00   66.30 um     6.10 um     4.06 um  
   2.25 keV   6.138E-01  4.959E+00   69.67 um     6.41 um     4.25 um  
   2.50 keV   6.470E-01  5.233E+00   72.86 um     6.69 um     4.44 um  
   2.75 keV   6.786E-01  5.492E+00   75.89 um     6.95 um     4.62 um  
   3.00 keV   7.087E-01  5.737E+00   78.78 um     7.20 um     4.79 um  
   3.25 keV   7.377E-01  5.969E+00   81.55 um     7.44 um     4.95 um  
   3.50 keV   7.655E-01  6.191E+00   84.22 um     7.67 um     5.11 um  
