 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 27, 2024 
 ==================================================================

 Disk File Name = range/3he/234U_in_3he.txt

 Ion = Uranium      [92] , Mass = 234.041 amu

 Density =  1.3500E-04 g/cm3 = 2.6955E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Uranium      [92] , Mass = 234.041 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    4.230E-01  3.109E+00   51.71 um     4.56 um     3.04 um  
   1.10 keV   4.437E-01  3.279E+00   53.72 um     4.74 um     3.16 um  
   1.20 keV   4.634E-01  3.442E+00   55.64 um     4.91 um     3.27 um  
   1.30 keV   4.823E-01  3.598E+00   57.46 um     5.07 um     3.37 um  
   1.40 keV   5.006E-01  3.747E+00   59.22 um     5.22 um     3.47 um  
   1.50 keV   5.181E-01  3.891E+00   60.91 um     5.37 um     3.57 um  
   1.60 keV   5.351E-01  4.030E+00   62.53 um     5.51 um     3.66 um  
   1.70 keV   5.516E-01  4.164E+00   64.11 um     5.64 um     3.75 um  
   1.80 keV   5.676E-01  4.294E+00   65.63 um     5.77 um     3.83 um  
   2.00 keV   5.983E-01  4.542E+00   68.55 um     6.03 um     4.00 um  
   2.25 keV   6.346E-01  4.833E+00   72.00 um     6.33 um     4.19 um  
   2.50 keV   6.689E-01  5.106E+00   75.24 um     6.61 um     4.37 um  
   2.75 keV   7.015E-01  5.364E+00   78.33 um     6.87 um     4.55 um  
   3.00 keV   7.327E-01  5.608E+00   81.27 um     7.12 um     4.71 um  
   3.25 keV   7.627E-01  5.841E+00   84.10 um     7.35 um     4.87 um  
   3.50 keV   7.914E-01  6.062E+00   86.81 um     7.57 um     5.02 um  
