 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 27, 2024 
 ==================================================================

 Disk File Name = range/3he/42Ar_in_3he.txt

 Ion = Argon        [18] , Mass = 41.96305 amu

 Density =  1.3500E-04 g/cm3 = 2.6955E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Argon        [18] , Mass = 41.96305 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.805E-01  3.804E+00   31.34 um     5.61 um     4.21 um  
   1.10 keV   2.942E-01  3.926E+00   33.02 um     5.87 um     4.43 um  
   1.20 keV   3.073E-01  4.038E+00   34.65 um     6.11 um     4.64 um  
   1.30 keV   3.198E-01  4.141E+00   36.24 um     6.34 um     4.84 um  
   1.40 keV   3.319E-01  4.237E+00   37.79 um     6.56 um     5.04 um  
   1.50 keV   3.435E-01  4.326E+00   39.30 um     6.78 um     5.23 um  
   1.60 keV   3.548E-01  4.409E+00   40.79 um     6.99 um     5.42 um  
   1.70 keV   3.657E-01  4.487E+00   42.25 um     7.19 um     5.60 um  
   1.80 keV   3.763E-01  4.560E+00   43.68 um     7.39 um     5.78 um  
   2.00 keV   3.967E-01  4.694E+00   46.48 um     7.78 um     6.13 um  
   2.25 keV   4.207E-01  4.843E+00   49.87 um     8.25 um     6.55 um  
   2.50 keV   4.435E-01  4.974E+00   53.15 um     8.69 um     6.95 um  
   2.75 keV   4.651E-01  5.090E+00   56.36 um     9.12 um     7.34 um  
   3.00 keV   4.858E-01  5.195E+00   59.49 um     9.54 um     7.72 um  
   3.25 keV   5.057E-01  5.289E+00   62.56 um     9.94 um     8.09 um  
   3.50 keV   5.248E-01  5.374E+00   65.57 um    10.33 um     8.45 um  
