 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 27, 2024 
 ==================================================================

 Disk File Name = range/3he/60Cr_in_3he.txt

 Ion = Chromium     [24] , Mass = 59.94964 amu

 Density =  1.3500E-04 g/cm3 = 2.6955E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Chromium     [24] , Mass = 59.94964 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.912E-01  3.897E+00   34.37 um     5.53 um     3.97 um  
   1.10 keV   2.006E-01  4.043E+00   36.07 um     5.76 um     4.16 um  
   1.20 keV   2.095E-01  4.179E+00   37.71 um     5.98 um     4.35 um  
   1.30 keV   2.180E-01  4.306E+00   39.30 um     6.20 um     4.52 um  
   1.40 keV   2.263E-01  4.424E+00   40.84 um     6.40 um     4.69 um  
   1.50 keV   2.342E-01  4.536E+00   42.35 um     6.60 um     4.86 um  
   1.60 keV   2.419E-01  4.641E+00   43.81 um     6.79 um     5.02 um  
   1.70 keV   2.493E-01  4.741E+00   45.25 um     6.97 um     5.18 um  
   1.80 keV   2.565E-01  4.835E+00   46.66 um     7.15 um     5.33 um  
   2.00 keV   2.704E-01  5.010E+00   49.39 um     7.50 um     5.63 um  
   2.25 keV   2.868E-01  5.207E+00   52.68 um     7.92 um     5.99 um  
   2.50 keV   3.023E-01  5.384E+00   55.86 um     8.31 um     6.34 um  
   2.75 keV   3.171E-01  5.545E+00   58.94 um     8.69 um     6.67 um  
   3.00 keV   3.312E-01  5.691E+00   61.93 um     9.05 um     6.99 um  
   3.25 keV   3.447E-01  5.826E+00   64.84 um     9.40 um     7.30 um  
   3.50 keV   3.577E-01  5.950E+00   67.70 um     9.73 um     7.61 um  
