 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 27, 2024 
 ==================================================================

 Disk File Name = range/3he/6Be_in_3he.txt

 Ion = Beryllium    [4] , Mass = 6.019726 amu

 Density =  1.3500E-04 g/cm3 = 2.6955E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Beryllium    [4] , Mass = 6.019726 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.959E-01  1.221E+00   47.61 um    16.27 um    12.03 um  
   1.10 keV   2.054E-01  1.210E+00   51.94 um    17.56 um    12.96 um  
   1.20 keV   2.146E-01  1.198E+00   56.29 um    18.85 um    13.88 um  
   1.30 keV   2.233E-01  1.186E+00   60.67 um    20.12 um    14.80 um  
   1.40 keV   2.318E-01  1.173E+00   65.08 um    21.40 um    15.71 um  
   1.50 keV   2.399E-01  1.161E+00   69.51 um    22.66 um    16.62 um  
   1.60 keV   2.478E-01  1.148E+00   73.97 um    23.92 um    17.53 um  
   1.70 keV   2.554E-01  1.135E+00   78.46 um    25.18 um    18.43 um  
   1.80 keV   2.628E-01  1.122E+00   82.98 um    26.43 um    19.34 um  
   2.00 keV   2.770E-01  1.098E+00   92.10 um    28.93 um    21.15 um  
   2.25 keV   2.938E-01  1.068E+00  103.65 um    32.03 um    23.41 um  
   2.50 keV   3.097E-01  1.039E+00  115.38 um    35.10 um    25.68 um  
   2.75 keV   3.248E-01  1.012E+00  127.25 um    38.15 um    27.96 um  
   3.00 keV   3.393E-01  9.863E-01  139.28 um    41.18 um    30.24 um  
   3.25 keV   3.531E-01  9.619E-01  151.45 um    44.18 um    32.53 um  
   3.50 keV   3.665E-01  9.388E-01  163.75 um    47.16 um    34.83 um  
