 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 27, 2024 
 ==================================================================

 Disk File Name = range/3he/87Tc_in_3he.txt

 Ion = Technetium   [43] , Mass = 86.93806 amu

 Density =  1.3500E-04 g/cm3 = 2.6955E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Technetium   [43] , Mass = 86.93806 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.603E-01  4.176E+00   36.55 um     5.26 um     3.61 um  
   1.10 keV   1.681E-01  4.364E+00   38.17 um     5.47 um     3.76 um  
   1.20 keV   1.756E-01  4.540E+00   39.71 um     5.67 um     3.91 um  
   1.30 keV   1.828E-01  4.707E+00   41.20 um     5.86 um     4.05 um  
   1.40 keV   1.897E-01  4.865E+00   42.63 um     6.04 um     4.19 um  
   1.50 keV   1.963E-01  5.015E+00   44.03 um     6.21 um     4.32 um  
   1.60 keV   2.028E-01  5.157E+00   45.38 um     6.38 um     4.45 um  
   1.70 keV   2.090E-01  5.294E+00   46.70 um     6.54 um     4.57 um  
   1.80 keV   2.151E-01  5.425E+00   47.98 um     6.70 um     4.69 um  
   2.00 keV   2.267E-01  5.671E+00   50.46 um     7.00 um     4.93 um  
   2.25 keV   2.405E-01  5.953E+00   53.42 um     7.36 um     5.20 um  
   2.50 keV   2.535E-01  6.212E+00   56.25 um     7.69 um     5.47 um  
   2.75 keV   2.658E-01  6.451E+00   58.97 um     8.01 um     5.72 um  
   3.00 keV   2.777E-01  6.673E+00   61.59 um     8.31 um     5.97 um  
   3.25 keV   2.890E-01  6.880E+00   64.13 um     8.60 um     6.21 um  
   3.50 keV   2.999E-01  7.074E+00   66.59 um     8.88 um     6.44 um  
