 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 25, 2024 
 ==================================================================

 Disk File Name = range/air/100Nb_in_air.txt

 Ion = Niobium      [41] , Mass = 99.91434 amu

 Density =  1.6300E-03 g/cm3 = 6.7474E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    000.02    000.01   
      O      8    021.08    023.18   
      N      7    078.44    075.53   
     Ar     18    000.47    001.28   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Niobium      [41] , Mass = 99.91434 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    9.334E-02  2.428E+00    4.63 um     1.34 um     9622 A   
   1.10 keV   9.790E-02  2.537E+00    4.83 um     1.40 um     1.00 um  
   1.20 keV   1.023E-01  2.640E+00    5.03 um     1.45 um     1.04 um  
   1.30 keV   1.064E-01  2.737E+00    5.22 um     1.50 um     1.08 um  
   1.40 keV   1.104E-01  2.829E+00    5.41 um     1.55 um     1.11 um  
   1.50 keV   1.143E-01  2.916E+00    5.58 um     1.59 um     1.15 um  
   1.60 keV   1.181E-01  2.999E+00    5.76 um     1.63 um     1.18 um  
   1.70 keV   1.217E-01  3.079E+00    5.93 um     1.68 um     1.21 um  
   1.80 keV   1.252E-01  3.155E+00    6.09 um     1.72 um     1.24 um  
   2.00 keV   1.320E-01  3.298E+00    6.41 um     1.80 um     1.30 um  
   2.25 keV   1.400E-01  3.463E+00    6.79 um     1.89 um     1.38 um  
   2.50 keV   1.476E-01  3.614E+00    7.16 um     1.98 um     1.44 um  
   2.75 keV   1.548E-01  3.753E+00    7.51 um     2.06 um     1.51 um  
   3.00 keV   1.617E-01  3.883E+00    7.85 um     2.14 um     1.57 um  
   3.25 keV   1.683E-01  4.004E+00    8.17 um     2.22 um     1.63 um  
