 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 25, 2024 
 ==================================================================

 Disk File Name = range/air/177Hg_in_air.txt

 Ion = Mercury      [80] , Mass = 176.9863 amu

 Density =  1.6300E-03 g/cm3 = 6.7474E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    000.02    000.01   
      O      8    021.08    023.18   
      N      7    078.44    075.53   
     Ar     18    000.47    001.28   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Mercury      [80] , Mass = 176.9863 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.360E-01  2.399E+00    5.19 um     1.15 um     8065 A   
   1.10 keV   2.475E-01  2.524E+00    5.40 um     1.19 um     8371 A   
   1.20 keV   2.585E-01  2.644E+00    5.60 um     1.23 um     8662 A   
   1.30 keV   2.691E-01  2.757E+00    5.79 um     1.27 um     8940 A   
   1.40 keV   2.792E-01  2.866E+00    5.97 um     1.31 um     9207 A   
   1.50 keV   2.890E-01  2.970E+00    6.14 um     1.35 um     9463 A   
   1.60 keV   2.985E-01  3.071E+00    6.31 um     1.39 um     9710 A   
   1.70 keV   3.077E-01  3.168E+00    6.48 um     1.42 um     9950 A   
   1.80 keV   3.166E-01  3.261E+00    6.64 um     1.45 um     1.02 um  
   2.00 keV   3.337E-01  3.439E+00    6.94 um     1.52 um     1.06 um  
   2.25 keV   3.540E-01  3.646E+00    7.31 um     1.59 um     1.11 um  
   2.50 keV   3.731E-01  3.840E+00    7.65 um     1.66 um     1.16 um  
   2.75 keV   3.914E-01  4.022E+00    7.98 um     1.73 um     1.21 um  
   3.00 keV   4.088E-01  4.193E+00    8.29 um     1.79 um     1.26 um  
   3.25 keV   4.254E-01  4.355E+00    8.59 um     1.85 um     1.30 um  
