 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 25, 2024 
 ==================================================================

 Disk File Name = range/air/180Ir_in_air.txt

 Ion = Iridium      [77] , Mass = 179.9592 amu

 Density =  1.6300E-03 g/cm3 = 6.7474E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    000.02    000.01   
      O      8    021.08    023.18   
      N      7    078.44    075.53   
     Ar     18    000.47    001.28   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Iridium      [77] , Mass = 179.9592 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.227E-01  2.361E+00    5.30 um     1.16 um     8172 A   
   1.10 keV   2.336E-01  2.484E+00    5.51 um     1.21 um     8482 A   
   1.20 keV   2.440E-01  2.601E+00    5.71 um     1.25 um     8777 A   
   1.30 keV   2.540E-01  2.712E+00    5.90 um     1.29 um     9059 A   
   1.40 keV   2.635E-01  2.819E+00    6.09 um     1.33 um     9329 A   
   1.50 keV   2.728E-01  2.921E+00    6.27 um     1.37 um     9589 A   
   1.60 keV   2.817E-01  3.020E+00    6.44 um     1.40 um     9840 A   
   1.70 keV   2.904E-01  3.114E+00    6.61 um     1.44 um     1.01 um  
   1.80 keV   2.988E-01  3.206E+00    6.77 um     1.47 um     1.03 um  
   2.00 keV   3.150E-01  3.380E+00    7.09 um     1.54 um     1.08 um  
   2.25 keV   3.341E-01  3.583E+00    7.46 um     1.61 um     1.13 um  
   2.50 keV   3.522E-01  3.773E+00    7.81 um     1.68 um     1.18 um  
   2.75 keV   3.694E-01  3.951E+00    8.14 um     1.75 um     1.23 um  
   3.00 keV   3.858E-01  4.119E+00    8.46 um     1.81 um     1.27 um  
   3.25 keV   4.015E-01  4.278E+00    8.77 um     1.87 um     1.32 um  
