 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 25, 2024 
 ==================================================================

 Disk File Name = range/air/50Cr_in_air.txt

 Ion = Chromium     [24] , Mass = 49.94604 amu

 Density =  1.6300E-03 g/cm3 = 6.7474E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    000.02    000.01   
      O      8    021.08    023.18   
      N      7    078.44    075.53   
     Ar     18    000.47    001.28   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Chromium     [24] , Mass = 49.94604 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.194E-01  2.235E+00    3.92 um     1.47 um     1.08 um  
   1.10 keV   1.253E-01  2.317E+00    4.12 um     1.54 um     1.14 um  
   1.20 keV   1.308E-01  2.392E+00    4.32 um     1.60 um     1.18 um  
   1.30 keV   1.362E-01  2.462E+00    4.51 um     1.66 um     1.23 um  
   1.40 keV   1.413E-01  2.528E+00    4.70 um     1.72 um     1.28 um  
   1.50 keV   1.463E-01  2.590E+00    4.88 um     1.78 um     1.32 um  
   1.60 keV   1.511E-01  2.648E+00    5.06 um     1.83 um     1.37 um  
   1.70 keV   1.557E-01  2.702E+00    5.23 um     1.89 um     1.41 um  
   1.80 keV   1.602E-01  2.754E+00    5.40 um     1.94 um     1.45 um  
   2.00 keV   1.689E-01  2.850E+00    5.74 um     2.04 um     1.53 um  
   2.25 keV   1.792E-01  2.958E+00    6.14 um     2.16 um     1.63 um  
   2.50 keV   1.888E-01  3.054E+00    6.53 um     2.28 um     1.72 um  
   2.75 keV   1.981E-01  3.141E+00    6.91 um     2.39 um     1.81 um  
   3.00 keV   2.069E-01  3.220E+00    7.28 um     2.50 um     1.90 um  
   3.25 keV   2.153E-01  3.293E+00    7.64 um     2.60 um     1.98 um  
