 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 25, 2024 
 ==================================================================

 Disk File Name = range/air/70Fe_in_air.txt

 Ion = Iron         [26] , Mass = 69.9604 amu

 Density =  1.6300E-03 g/cm3 = 6.7474E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    000.02    000.01   
      O      8    021.08    023.18   
      N      7    078.44    075.53   
     Ar     18    000.47    001.28   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Iron         [26] , Mass = 69.9604 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    8.945E-02  2.222E+00    4.42 um     1.45 um     1.06 um  
   1.10 keV   9.382E-02  2.310E+00    4.64 um     1.52 um     1.11 um  
   1.20 keV   9.799E-02  2.391E+00    4.84 um     1.58 um     1.16 um  
   1.30 keV   1.020E-01  2.467E+00    5.05 um     1.63 um     1.20 um  
   1.40 keV   1.058E-01  2.538E+00    5.24 um     1.69 um     1.24 um  
   1.50 keV   1.096E-01  2.606E+00    5.44 um     1.74 um     1.29 um  
   1.60 keV   1.131E-01  2.669E+00    5.62 um     1.79 um     1.33 um  
   1.70 keV   1.166E-01  2.729E+00    5.81 um     1.84 um     1.37 um  
   1.80 keV   1.200E-01  2.787E+00    5.99 um     1.89 um     1.40 um  
   2.00 keV   1.265E-01  2.893E+00    6.34 um     1.98 um     1.48 um  
   2.25 keV   1.342E-01  3.014E+00    6.76 um     2.10 um     1.57 um  
   2.50 keV   1.414E-01  3.123E+00    7.16 um     2.20 um     1.66 um  
   2.75 keV   1.483E-01  3.222E+00    7.56 um     2.30 um     1.74 um  
   3.00 keV   1.549E-01  3.313E+00    7.94 um     2.40 um     1.82 um  
   3.25 keV   1.613E-01  3.397E+00    8.31 um     2.49 um     1.90 um  
