 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 25, 2024 
 ==================================================================

 Disk File Name = range/air/81Ni_in_air.txt

 Ion = Nickel       [28] , Mass = 80.98273 amu

 Density =  1.6300E-03 g/cm3 = 6.7474E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    000.02    000.01   
      O      8    021.08    023.18   
      N      7    078.44    075.53   
     Ar     18    000.47    001.28   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Nickel       [28] , Mass = 80.98273 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    5.010E-02  2.227E+00    4.68 um     1.47 um     1.07 um  
   1.10 keV   5.255E-02  2.318E+00    4.91 um     1.53 um     1.11 um  
   1.20 keV   5.488E-02  2.403E+00    5.12 um     1.59 um     1.16 um  
   1.30 keV   5.713E-02  2.483E+00    5.33 um     1.64 um     1.20 um  
   1.40 keV   5.928E-02  2.558E+00    5.53 um     1.70 um     1.24 um  
   1.50 keV   6.136E-02  2.628E+00    5.73 um     1.75 um     1.28 um  
   1.60 keV   6.338E-02  2.695E+00    5.92 um     1.80 um     1.32 um  
   1.70 keV   6.533E-02  2.759E+00    6.11 um     1.85 um     1.36 um  
   1.80 keV   6.722E-02  2.820E+00    6.29 um     1.90 um     1.40 um  
   2.00 keV   7.086E-02  2.933E+00    6.65 um     1.99 um     1.47 um  
   2.25 keV   7.515E-02  3.062E+00    7.08 um     2.10 um     1.56 um  
   2.50 keV   7.922E-02  3.178E+00    7.49 um     2.20 um     1.64 um  
   2.75 keV   8.309E-02  3.285E+00    7.89 um     2.30 um     1.72 um  
   3.00 keV   8.678E-02  3.383E+00    8.28 um     2.39 um     1.80 um  
   3.25 keV   9.032E-02  3.474E+00    8.65 um     2.49 um     1.88 um  
