 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 25, 2024 
 ==================================================================

 Disk File Name = range/air/91Br_in_air.txt

 Ion = Bromine      [35] , Mass = 90.93439 amu

 Density =  1.6300E-03 g/cm3 = 6.7474E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    000.02    000.01   
      O      8    021.08    023.18   
      N      7    078.44    075.53   
     Ar     18    000.47    001.28   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Bromine      [35] , Mass = 90.93439 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    8.316E-02  2.357E+00    4.61 um     1.38 um     9961 A   
   1.10 keV   8.722E-02  2.459E+00    4.82 um     1.44 um     1.04 um  
   1.20 keV   9.110E-02  2.555E+00    5.02 um     1.49 um     1.08 um  
   1.30 keV   9.482E-02  2.645E+00    5.22 um     1.55 um     1.12 um  
   1.40 keV   9.839E-02  2.730E+00    5.40 um     1.60 um     1.16 um  
   1.50 keV   1.018E-01  2.810E+00    5.59 um     1.64 um     1.19 um  
   1.60 keV   1.052E-01  2.887E+00    5.77 um     1.69 um     1.23 um  
   1.70 keV   1.084E-01  2.960E+00    5.94 um     1.73 um     1.26 um  
   1.80 keV   1.116E-01  3.030E+00    6.11 um     1.78 um     1.30 um  
   2.00 keV   1.176E-01  3.161E+00    6.44 um     1.86 um     1.36 um  
   2.25 keV   1.247E-01  3.311E+00    6.84 um     1.96 um     1.44 um  
   2.50 keV   1.315E-01  3.448E+00    7.22 um     2.05 um     1.51 um  
   2.75 keV   1.379E-01  3.574E+00    7.59 um     2.14 um     1.58 um  
   3.00 keV   1.440E-01  3.690E+00    7.94 um     2.22 um     1.65 um  
   3.25 keV   1.499E-01  3.799E+00    8.28 um     2.31 um     1.72 um  
