 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 25, 2024 
 ==================================================================

 Disk File Name = range/air/98Ru_in_air.txt

 Ion = Ruthenium    [44] , Mass = 97.90529 amu

 Density =  1.6300E-03 g/cm3 = 6.7474E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    000.02    000.01   
      O      8    021.08    023.18   
      N      7    078.44    075.53   
     Ar     18    000.47    001.28   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Ruthenium    [44] , Mass = 97.90529 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    8.510E-02  2.499E+00    4.52 um     1.33 um     9559 A   
   1.10 keV   8.926E-02  2.613E+00    4.72 um     1.39 um     9951 A   
   1.20 keV   9.322E-02  2.719E+00    4.92 um     1.44 um     1.03 um  
   1.30 keV   9.703E-02  2.820E+00    5.10 um     1.49 um     1.07 um  
   1.40 keV   1.007E-01  2.916E+00    5.28 um     1.53 um     1.10 um  
   1.50 keV   1.042E-01  3.007E+00    5.45 um     1.58 um     1.14 um  
   1.60 keV   1.076E-01  3.094E+00    5.62 um     1.62 um     1.17 um  
   1.70 keV   1.110E-01  3.177E+00    5.78 um     1.66 um     1.20 um  
   1.80 keV   1.142E-01  3.256E+00    5.94 um     1.70 um     1.23 um  
   2.00 keV   1.204E-01  3.406E+00    6.25 um     1.78 um     1.29 um  
   2.25 keV   1.277E-01  3.577E+00    6.62 um     1.87 um     1.36 um  
   2.50 keV   1.346E-01  3.735E+00    6.98 um     1.96 um     1.43 um  
   2.75 keV   1.411E-01  3.881E+00    7.32 um     2.04 um     1.49 um  
   3.00 keV   1.474E-01  4.017E+00    7.64 um     2.12 um     1.56 um  
   3.25 keV   1.534E-01  4.144E+00    7.96 um     2.20 um     1.62 um  
