 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 27, 2024 
 ==================================================================

 Disk File Name = range/al/123La_in_al.txt

 Ion = Lanthanum    [57] , Mass = 122.9263 amu

 Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Lanthanum    [57] , Mass = 122.9263 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    8.456E-02  2.012E+00      33 A        12 A         9 A   
   1.10 keV   8.869E-02  2.110E+00      34 A        12 A         9 A   
   1.20 keV   9.263E-02  2.204E+00      36 A        13 A         9 A   
   1.30 keV   9.641E-02  2.292E+00      37 A        13 A        10 A   
   1.40 keV   1.001E-01  2.377E+00      38 A        14 A        10 A   
   1.50 keV   1.036E-01  2.457E+00      39 A        14 A        10 A   
   1.60 keV   1.070E-01  2.535E+00      40 A        14 A        10 A   
   1.70 keV   1.103E-01  2.609E+00      42 A        15 A        11 A   
   1.80 keV   1.134E-01  2.680E+00      43 A        15 A        11 A   
   2.00 keV   1.196E-01  2.815E+00      45 A        16 A        11 A   
   2.25 keV   1.268E-01  2.972E+00      47 A        17 A        12 A   
   2.50 keV   1.337E-01  3.117E+00      50 A        17 A        13 A   
   2.75 keV   1.402E-01  3.253E+00      52 A        18 A        13 A   
   3.00 keV   1.465E-01  3.379E+00      54 A        19 A        14 A   
   3.25 keV   1.524E-01  3.499E+00      56 A        19 A        14 A   
   3.50 keV   1.582E-01  3.611E+00      58 A        20 A        15 A   
   3.75 keV   1.637E-01  3.718E+00      60 A        21 A        15 A   
   4.00 keV   1.691E-01  3.820E+00      62 A        21 A        15 A   
   4.50 keV   1.794E-01  4.009E+00      66 A        22 A        16 A   
