 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 27, 2024 
 ==================================================================

 Disk File Name = range/al/152Er_in_al.txt

 Ion = Erbium       [68] , Mass = 151.935 amu

 Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Erbium       [68] , Mass = 151.935 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.945E-01  1.998E+00      34 A        11 A         8 A   
   1.10 keV   2.040E-01  2.100E+00      35 A        11 A         8 A   
   1.20 keV   2.130E-01  2.197E+00      36 A        12 A         8 A   
   1.30 keV   2.217E-01  2.289E+00      38 A        12 A         9 A   
   1.40 keV   2.301E-01  2.377E+00      39 A        12 A         9 A   
   1.50 keV   2.382E-01  2.461E+00      40 A        13 A         9 A   
   1.60 keV   2.460E-01  2.542E+00      41 A        13 A         9 A   
   1.70 keV   2.536E-01  2.620E+00      42 A        13 A        10 A   
   1.80 keV   2.609E-01  2.696E+00      43 A        14 A        10 A   
   2.00 keV   2.750E-01  2.838E+00      45 A        14 A        10 A   
   2.25 keV   2.917E-01  3.005E+00      48 A        15 A        11 A   
   2.50 keV   3.075E-01  3.160E+00      50 A        16 A        11 A   
   2.75 keV   3.225E-01  3.304E+00      52 A        16 A        12 A   
   3.00 keV   3.368E-01  3.441E+00      54 A        17 A        12 A   
   3.25 keV   3.506E-01  3.570E+00      56 A        17 A        13 A   
   3.50 keV   3.638E-01  3.692E+00      58 A        18 A        13 A   
   3.75 keV   3.766E-01  3.808E+00      60 A        18 A        13 A   
   4.00 keV   3.889E-01  3.919E+00      62 A        19 A        14 A   
   4.50 keV   4.125E-01  4.127E+00      66 A        20 A        14 A   
