 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 27, 2024 
 ==================================================================

 Disk File Name = range/al/155Pm_in_al.txt

 Ion = Promethium   [61] , Mass = 154.9281 amu

 Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Promethium   [61] , Mass = 154.9281 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.482E-01  1.929E+00      35 A        11 A         8 A   
   1.10 keV   1.555E-01  2.026E+00      37 A        12 A         8 A   
   1.20 keV   1.624E-01  2.119E+00      38 A        12 A         9 A   
   1.30 keV   1.690E-01  2.207E+00      40 A        13 A         9 A   
   1.40 keV   1.754E-01  2.290E+00      41 A        13 A         9 A   
   1.50 keV   1.815E-01  2.371E+00      42 A        13 A        10 A   
   1.60 keV   1.875E-01  2.448E+00      43 A        14 A        10 A   
   1.70 keV   1.933E-01  2.522E+00      44 A        14 A        10 A   
   1.80 keV   1.989E-01  2.593E+00      46 A        14 A        10 A   
   2.00 keV   2.096E-01  2.729E+00      48 A        15 A        11 A   
   2.25 keV   2.223E-01  2.887E+00      50 A        16 A        11 A   
   2.50 keV   2.344E-01  3.033E+00      53 A        16 A        12 A   
   2.75 keV   2.458E-01  3.170E+00      55 A        17 A        12 A   
   3.00 keV   2.567E-01  3.299E+00      57 A        18 A        13 A   
   3.25 keV   2.672E-01  3.421E+00      60 A        18 A        13 A   
   3.50 keV   2.773E-01  3.536E+00      62 A        19 A        14 A   
   3.75 keV   2.870E-01  3.646E+00      64 A        19 A        14 A   
   4.00 keV   2.965E-01  3.750E+00      66 A        20 A        14 A   
   4.50 keV   3.144E-01  3.945E+00      70 A        21 A        15 A   
