 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 27, 2024 
 ==================================================================

 Disk File Name = range/al/157Ce_in_al.txt

 Ion = Cerium       [58] , Mass = 156.9571 amu

 Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Cerium       [58] , Mass = 156.9571 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    7.191E-02  1.895E+00      37 A        12 A         9 A   
   1.10 keV   7.542E-02  1.990E+00      39 A        13 A         9 A   
   1.20 keV   7.878E-02  2.080E+00      40 A        13 A         9 A   
   1.30 keV   8.199E-02  2.166E+00      42 A        13 A        10 A   
   1.40 keV   8.509E-02  2.248E+00      43 A        14 A        10 A   
   1.50 keV   8.807E-02  2.327E+00      44 A        14 A        10 A   
   1.60 keV   9.096E-02  2.402E+00      46 A        15 A        11 A   
   1.70 keV   9.376E-02  2.474E+00      47 A        15 A        11 A   
   1.80 keV   9.648E-02  2.544E+00      48 A        15 A        11 A   
   2.00 keV   1.017E-01  2.676E+00      50 A        16 A        12 A   
   2.25 keV   1.079E-01  2.830E+00      53 A        17 A        12 A   
   2.50 keV   1.137E-01  2.973E+00      56 A        18 A        13 A   
   2.75 keV   1.193E-01  3.106E+00      58 A        18 A        13 A   
   3.00 keV   1.246E-01  3.231E+00      61 A        19 A        14 A   
   3.25 keV   1.296E-01  3.350E+00      63 A        20 A        14 A   
   3.50 keV   1.345E-01  3.462E+00      65 A        20 A        15 A   
   3.75 keV   1.393E-01  3.568E+00      67 A        21 A        15 A   
   4.00 keV   1.438E-01  3.669E+00      69 A        21 A        15 A   
   4.50 keV   1.525E-01  3.859E+00      73 A        22 A        16 A   
