 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 27, 2024 
 ==================================================================

 Disk File Name = range/al/169Eu_in_al.txt

 Ion = Europium     [63] , Mass = 168.9617 amu

 Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Europium     [63] , Mass = 168.9617 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.526E-01  1.895E+00      37 A        11 A         8 A   
   1.10 keV   1.600E-01  1.992E+00      38 A        12 A         8 A   
   1.20 keV   1.671E-01  2.084E+00      40 A        12 A         9 A   
   1.30 keV   1.740E-01  2.171E+00      41 A        12 A         9 A   
   1.40 keV   1.805E-01  2.255E+00      42 A        13 A         9 A   
   1.50 keV   1.869E-01  2.335E+00      44 A        13 A        10 A   
   1.60 keV   1.930E-01  2.412E+00      45 A        14 A        10 A   
   1.70 keV   1.989E-01  2.486E+00      46 A        14 A        10 A   
   1.80 keV   2.047E-01  2.557E+00      47 A        14 A        10 A   
   2.00 keV   2.158E-01  2.693E+00      49 A        15 A        11 A   
   2.25 keV   2.289E-01  2.851E+00      52 A        16 A        11 A   
   2.50 keV   2.412E-01  2.998E+00      55 A        16 A        12 A   
   2.75 keV   2.530E-01  3.135E+00      57 A        17 A        12 A   
   3.00 keV   2.643E-01  3.265E+00      59 A        18 A        13 A   
   3.25 keV   2.751E-01  3.387E+00      61 A        18 A        13 A   
   3.50 keV   2.854E-01  3.503E+00      64 A        19 A        13 A   
   3.75 keV   2.955E-01  3.613E+00      66 A        19 A        14 A   
   4.00 keV   3.052E-01  3.718E+00      68 A        20 A        14 A   
   4.50 keV   3.237E-01  3.916E+00      72 A        21 A        15 A   
