 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 27, 2024 
 ==================================================================

 Disk File Name = range/al/174Pt_in_al.txt

 Ion = Platinum     [78] , Mass = 173.9728 amu

 Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Platinum     [78] , Mass = 173.9728 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.398E-01  1.983E+00      35 A        10 A         7 A   
   1.10 keV   2.515E-01  2.087E+00      36 A        11 A         8 A   
   1.20 keV   2.627E-01  2.186E+00      37 A        11 A         8 A   
   1.30 keV   2.734E-01  2.281E+00      38 A        11 A         8 A   
   1.40 keV   2.838E-01  2.371E+00      40 A        12 A         8 A   
   1.50 keV   2.937E-01  2.458E+00      41 A        12 A         9 A   
   1.60 keV   3.033E-01  2.541E+00      42 A        12 A         9 A   
   1.70 keV   3.127E-01  2.621E+00      43 A        13 A         9 A   
   1.80 keV   3.217E-01  2.699E+00      44 A        13 A         9 A   
   2.00 keV   3.391E-01  2.847E+00      46 A        14 A        10 A   
   2.25 keV   3.597E-01  3.019E+00      49 A        14 A        10 A   
   2.50 keV   3.792E-01  3.180E+00      51 A        15 A        11 A   
   2.75 keV   3.977E-01  3.331E+00      53 A        15 A        11 A   
   3.00 keV   4.154E-01  3.474E+00      55 A        16 A        11 A   
   3.25 keV   4.323E-01  3.609E+00      57 A        17 A        12 A   
   3.50 keV   4.487E-01  3.737E+00      59 A        17 A        12 A   
   3.75 keV   4.644E-01  3.860E+00      61 A        18 A        13 A   
   4.00 keV   4.796E-01  3.977E+00      63 A        18 A        13 A   
   4.50 keV   5.087E-01  4.197E+00      66 A        19 A        14 A   
