 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 27, 2024 
 ==================================================================

 Disk File Name = range/al/225Po_in_al.txt

 Ion = Polonium     [84] , Mass = 225.0371 amu

 Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Polonium     [84] , Mass = 225.0371 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.267E-01  1.840E+00      39 A        10 A         7 A   
   1.10 keV   2.378E-01  1.939E+00      41 A        11 A         8 A   
   1.20 keV   2.484E-01  2.034E+00      42 A        11 A         8 A   
   1.30 keV   2.585E-01  2.124E+00      44 A        11 A         8 A   
   1.40 keV   2.683E-01  2.211E+00      45 A        12 A         8 A   
   1.50 keV   2.777E-01  2.294E+00      46 A        12 A         9 A   
   1.60 keV   2.868E-01  2.374E+00      47 A        12 A         9 A   
   1.70 keV   2.956E-01  2.452E+00      49 A        13 A         9 A   
   1.80 keV   3.042E-01  2.527E+00      50 A        13 A         9 A   
   2.00 keV   3.206E-01  2.670E+00      52 A        14 A        10 A   
   2.25 keV   3.401E-01  2.837E+00      55 A        14 A        10 A   
   2.50 keV   3.585E-01  2.994E+00      57 A        15 A        11 A   
   2.75 keV   3.760E-01  3.141E+00      60 A        15 A        11 A   
   3.00 keV   3.927E-01  3.281E+00      62 A        16 A        11 A   
   3.25 keV   4.087E-01  3.414E+00      64 A        16 A        12 A   
   3.50 keV   4.242E-01  3.540E+00      66 A        17 A        12 A   
   3.75 keV   4.390E-01  3.661E+00      68 A        17 A        12 A   
   4.00 keV   4.534E-01  3.777E+00      70 A        18 A        13 A   
   4.50 keV   4.809E-01  3.995E+00      74 A        19 A        13 A   
