 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 27, 2024 
 ==================================================================

 Disk File Name = range/al/41Ca_in_al.txt

 Ion = Calcium      [20] , Mass = 40.96228 amu

 Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Calcium      [20] , Mass = 40.96228 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.290E-01  1.418E+00      28 A        15 A        11 A   
   1.10 keV   1.353E-01  1.468E+00      30 A        16 A        12 A   
   1.20 keV   1.413E-01  1.514E+00      31 A        17 A        12 A   
   1.30 keV   1.470E-01  1.557E+00      33 A        17 A        13 A   
   1.40 keV   1.526E-01  1.597E+00      34 A        18 A        13 A   
   1.50 keV   1.579E-01  1.635E+00      35 A        19 A        14 A   
   1.60 keV   1.631E-01  1.670E+00      37 A        19 A        14 A   
   1.70 keV   1.681E-01  1.704E+00      38 A        20 A        15 A   
   1.80 keV   1.730E-01  1.735E+00      39 A        21 A        15 A   
   2.00 keV   1.824E-01  1.794E+00      42 A        22 A        16 A   
   2.25 keV   1.934E-01  1.859E+00      45 A        23 A        17 A   
   2.50 keV   2.039E-01  1.917E+00      48 A        24 A        18 A   
   2.75 keV   2.139E-01  1.969E+00      51 A        26 A        19 A   
   3.00 keV   2.234E-01  2.017E+00      54 A        27 A        20 A   
   3.25 keV   2.325E-01  2.060E+00      57 A        28 A        21 A   
   3.50 keV   2.413E-01  2.099E+00      60 A        29 A        22 A   
   3.75 keV   2.497E-01  2.136E+00      62 A        30 A        22 A   
   4.00 keV   2.579E-01  2.170E+00      65 A        31 A        23 A   
   4.50 keV   2.736E-01  2.230E+00      70 A        34 A        25 A   
