 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 27, 2024 
 ==================================================================

 Disk File Name = range/al/46Ar_in_al.txt

 Ion = Argon        [18] , Mass = 45.96804 amu

 Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Argon        [18] , Mass = 45.96804 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.526E-01  1.374E+00      30 A        15 A        11 A   
   1.10 keV   1.601E-01  1.422E+00      32 A        16 A        12 A   
   1.20 keV   1.672E-01  1.467E+00      33 A        17 A        12 A   
   1.30 keV   1.740E-01  1.508E+00      35 A        17 A        13 A   
   1.40 keV   1.806E-01  1.546E+00      36 A        18 A        13 A   
   1.50 keV   1.869E-01  1.582E+00      38 A        19 A        14 A   
   1.60 keV   1.931E-01  1.616E+00      39 A        19 A        14 A   
   1.70 keV   1.990E-01  1.648E+00      40 A        20 A        14 A   
   1.80 keV   2.048E-01  1.678E+00      42 A        20 A        15 A   
   2.00 keV   2.158E-01  1.733E+00      45 A        21 A        16 A   
   2.25 keV   2.289E-01  1.795E+00      48 A        23 A        17 A   
   2.50 keV   2.413E-01  1.851E+00      51 A        24 A        18 A   
   2.75 keV   2.531E-01  1.900E+00      54 A        25 A        19 A   
   3.00 keV   2.644E-01  1.945E+00      57 A        26 A        20 A   
   3.25 keV   2.752E-01  1.986E+00      60 A        28 A        21 A   
   3.50 keV   2.855E-01  2.024E+00      63 A        29 A        21 A   
   3.75 keV   2.956E-01  2.058E+00      66 A        30 A        22 A   
   4.00 keV   3.053E-01  2.090E+00      69 A        31 A        23 A   
   4.50 keV   3.238E-01  2.147E+00      74 A        33 A        25 A   
