 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 27, 2024 
 ==================================================================

 Disk File Name = range/al/74Zn_in_al.txt

 Ion = Zinc         [30] , Mass = 73.92941 amu

 Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Zinc         [30] , Mass = 73.92941 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    9.764E-02  1.745E+00      30 A        13 A        10 A   
   1.10 keV   1.024E-01  1.818E+00      32 A        14 A        10 A   
   1.20 keV   1.070E-01  1.886E+00      33 A        14 A        11 A   
   1.30 keV   1.113E-01  1.950E+00      35 A        15 A        11 A   
   1.40 keV   1.155E-01  2.011E+00      36 A        15 A        11 A   
   1.50 keV   1.196E-01  2.068E+00      37 A        16 A        12 A   
   1.60 keV   1.235E-01  2.123E+00      38 A        16 A        12 A   
   1.70 keV   1.273E-01  2.175E+00      40 A        17 A        12 A   
   1.80 keV   1.310E-01  2.224E+00      41 A        17 A        13 A   
   2.00 keV   1.381E-01  2.316E+00      43 A        18 A        13 A   
   2.25 keV   1.465E-01  2.422E+00      46 A        19 A        14 A   
   2.50 keV   1.544E-01  2.517E+00      49 A        20 A        15 A   
   2.75 keV   1.619E-01  2.605E+00      51 A        21 A        16 A   
   3.00 keV   1.691E-01  2.686E+00      54 A        22 A        16 A   
   3.25 keV   1.760E-01  2.761E+00      56 A        23 A        17 A   
   3.50 keV   1.827E-01  2.832E+00      59 A        24 A        17 A   
   3.75 keV   1.891E-01  2.897E+00      61 A        24 A        18 A   
   4.00 keV   1.953E-01  2.959E+00      63 A        25 A        19 A   
   4.50 keV   2.071E-01  3.071E+00      68 A        27 A        20 A   
