 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 28, 2024 
 ==================================================================

 Disk File Name = range/anthracene/116Cd_in_anthracene.txt

 Ion = Cadmium      [48] , Mass = 115.9048 amu

 Density =  1.2430E+00 g/cm3 = 1.0079E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    041.67    005.65   
      C      6    058.33    094.35   
 ====================================
 Bragg Correction = 1.27%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Cadmium      [48] , Mass = 115.9048 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.709E-01  2.730E+00      57 A        13 A         9 A   
   1.10 keV   1.792E-01  2.859E+00      60 A        14 A        10 A   
   1.20 keV   1.872E-01  2.980E+00      62 A        14 A        10 A   
   1.30 keV   1.948E-01  3.095E+00      64 A        15 A        11 A   
   1.40 keV   2.022E-01  3.204E+00      67 A        15 A        11 A   
   1.50 keV   2.093E-01  3.308E+00      69 A        16 A        11 A   
   1.60 keV   2.162E-01  3.407E+00      71 A        16 A        11 A   
   1.70 keV   2.228E-01  3.502E+00      73 A        17 A        12 A   
   1.80 keV   2.293E-01  3.593E+00      75 A        17 A        12 A   
   2.00 keV   2.417E-01  3.766E+00      78 A        18 A        13 A   
   2.25 keV   2.563E-01  3.964E+00      83 A        19 A        13 A   
   2.50 keV   2.702E-01  4.147E+00      87 A        19 A        14 A   
   2.75 keV   2.834E-01  4.317E+00      91 A        20 A        15 A   
   3.00 keV   2.960E-01  4.476E+00      95 A        21 A        15 A   
   3.25 keV   3.081E-01  4.625E+00      99 A        22 A        16 A   
   3.50 keV   3.197E-01  4.765E+00     103 A        22 A        16 A   
   3.75 keV   3.309E-01  4.897E+00     106 A        23 A        17 A   
   4.00 keV   3.418E-01  5.022E+00     110 A        24 A        17 A   
