 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 28, 2024 
 ==================================================================

 Disk File Name = range/anthracene/139Nd_in_anthracene.txt

 Ion = Neodymium    [60] , Mass = 138.912 amu

 Density =  1.2430E+00 g/cm3 = 1.0079E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    041.67    005.65   
      C      6    058.33    094.35   
 ====================================
 Bragg Correction = 1.27%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Neodymium    [60] , Mass = 138.912 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.820E-01  2.716E+00      56 A        12 A         8 A   
   1.10 keV   4.006E-01  2.850E+00      58 A        12 A         8 A   
   1.20 keV   4.185E-01  2.977E+00      60 A        12 A         9 A   
   1.30 keV   4.355E-01  3.098E+00      63 A        13 A         9 A   
   1.40 keV   4.520E-01  3.213E+00      65 A        13 A         9 A   
   1.50 keV   4.678E-01  3.323E+00      67 A        14 A        10 A   
   1.60 keV   4.832E-01  3.429E+00      69 A        14 A        10 A   
   1.70 keV   4.981E-01  3.530E+00      70 A        14 A        10 A   
   1.80 keV   5.125E-01  3.628E+00      72 A        15 A        10 A   
   2.00 keV   5.402E-01  3.813E+00      76 A        15 A        11 A   
   2.25 keV   5.730E-01  4.028E+00      80 A        16 A        11 A   
   2.50 keV   6.040E-01  4.227E+00      84 A        17 A        12 A   
   2.75 keV   6.335E-01  4.412E+00      88 A        18 A        12 A   
   3.00 keV   6.616E-01  4.586E+00      91 A        18 A        13 A   
   3.25 keV   6.887E-01  4.750E+00      95 A        19 A        13 A   
   3.50 keV   7.147E-01  4.906E+00      98 A        19 A        14 A   
   3.75 keV   7.397E-01  5.053E+00     102 A        20 A        14 A   
   4.00 keV   7.640E-01  5.193E+00     105 A        21 A        15 A   
