 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 28, 2024 
 ==================================================================

 Disk File Name = range/anthracene/149Sm_in_anthracene.txt

 Ion = Samarium     [62] , Mass = 148.9172 amu

 Density =  1.2430E+00 g/cm3 = 1.0079E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    041.67    005.65   
      C      6    058.33    094.35   
 ====================================
 Bragg Correction = 1.27%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Samarium     [62] , Mass = 148.9172 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.564E-01  2.663E+00      63 A        13 A         9 A   
   1.10 keV   1.640E-01  2.796E+00      65 A        14 A        10 A   
   1.20 keV   1.713E-01  2.922E+00      68 A        14 A        10 A   
   1.30 keV   1.783E-01  3.042E+00      70 A        15 A        10 A   
   1.40 keV   1.851E-01  3.157E+00      72 A        15 A        11 A   
   1.50 keV   1.915E-01  3.266E+00      75 A        16 A        11 A   
   1.60 keV   1.978E-01  3.372E+00      77 A        16 A        11 A   
   1.70 keV   2.039E-01  3.473E+00      79 A        16 A        11 A   
   1.80 keV   2.098E-01  3.570E+00      81 A        17 A        12 A   
   2.00 keV   2.212E-01  3.754E+00      85 A        17 A        12 A   
   2.25 keV   2.346E-01  3.969E+00      89 A        18 A        13 A   
   2.50 keV   2.473E-01  4.168E+00      94 A        19 A        14 A   
   2.75 keV   2.594E-01  4.354E+00      98 A        20 A        14 A   
   3.00 keV   2.709E-01  4.528E+00     102 A        21 A        15 A   
   3.25 keV   2.819E-01  4.693E+00     105 A        21 A        15 A   
   3.50 keV   2.926E-01  4.849E+00     109 A        22 A        16 A   
   3.75 keV   3.029E-01  4.997E+00     113 A        23 A        16 A   
   4.00 keV   3.128E-01  5.138E+00     116 A        23 A        17 A   
