 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 28, 2024 
 ==================================================================

 Disk File Name = range/anthracene/163Tb_in_anthracene.txt

 Ion = Terbium      [65] , Mass = 162.9306 amu

 Density =  1.2430E+00 g/cm3 = 1.0079E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    041.67    005.65   
      C      6    058.33    094.35   
 ====================================
 Bragg Correction = 1.27%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Terbium      [65] , Mass = 162.9306 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.639E-01  2.596E+00      60 A        12 A         8 A   
   1.10 keV   3.816E-01  2.727E+00      63 A        12 A         8 A   
   1.20 keV   3.986E-01  2.852E+00      65 A        12 A         9 A   
   1.30 keV   4.149E-01  2.971E+00      67 A        13 A         9 A   
   1.40 keV   4.306E-01  3.085E+00      69 A        13 A         9 A   
   1.50 keV   4.457E-01  3.194E+00      71 A        14 A        10 A   
   1.60 keV   4.603E-01  3.298E+00      74 A        14 A        10 A   
   1.70 keV   4.744E-01  3.398E+00      75 A        14 A        10 A   
   1.80 keV   4.882E-01  3.495E+00      77 A        15 A        10 A   
   2.00 keV   5.146E-01  3.679E+00      81 A        15 A        11 A   
   2.25 keV   5.458E-01  3.893E+00      85 A        16 A        11 A   
   2.50 keV   5.754E-01  4.092E+00      90 A        17 A        12 A   
   2.75 keV   6.034E-01  4.278E+00      94 A        18 A        12 A   
   3.00 keV   6.303E-01  4.453E+00      97 A        18 A        13 A   
   3.25 keV   6.560E-01  4.619E+00     101 A        19 A        13 A   
   3.50 keV   6.808E-01  4.775E+00     105 A        19 A        14 A   
   3.75 keV   7.047E-01  4.924E+00     108 A        20 A        14 A   
   4.00 keV   7.278E-01  5.067E+00     111 A        21 A        15 A   
