 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 28, 2024 
 ==================================================================

 Disk File Name = range/anthracene/164Os_in_anthracene.txt

 Ion = Osmium       [76] , Mass = 163.9781 amu

 Density =  1.2430E+00 g/cm3 = 1.0079E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    041.67    005.65   
      C      6    058.33    094.35   
 ====================================
 Bragg Correction = 1.27%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Osmium       [76] , Mass = 163.9781 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    4.291E-01  2.690E+00      58 A        11 A         8 A   
   1.10 keV   4.500E-01  2.829E+00      60 A        11 A         8 A   
   1.20 keV   4.700E-01  2.961E+00      62 A        12 A         8 A   
   1.30 keV   4.892E-01  3.087E+00      64 A        12 A         8 A   
   1.40 keV   5.077E-01  3.207E+00      66 A        13 A         9 A   
   1.50 keV   5.255E-01  3.323E+00      68 A        13 A         9 A   
   1.60 keV   5.428E-01  3.434E+00      70 A        13 A         9 A   
   1.70 keV   5.595E-01  3.541E+00      72 A        14 A         9 A   
   1.80 keV   5.757E-01  3.644E+00      74 A        14 A        10 A   
   2.00 keV   6.068E-01  3.840E+00      77 A        15 A        10 A   
   2.25 keV   6.436E-01  4.068E+00      82 A        15 A        11 A   
   2.50 keV   6.784E-01  4.281E+00      85 A        16 A        11 A   
   2.75 keV   7.116E-01  4.481E+00      89 A        17 A        12 A   
   3.00 keV   7.432E-01  4.669E+00      93 A        17 A        12 A   
   3.25 keV   7.735E-01  4.847E+00      96 A        18 A        12 A   
   3.50 keV   8.028E-01  5.016E+00      99 A        18 A        13 A   
   3.75 keV   8.309E-01  5.177E+00     103 A        19 A        13 A   
   4.00 keV   8.582E-01  5.331E+00     106 A        19 A        14 A   
