 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 28, 2024 
 ==================================================================

 Disk File Name = range/anthracene/178Ir_in_anthracene.txt

 Ion = Iridium      [77] , Mass = 177.9611 amu

 Density =  1.2430E+00 g/cm3 = 1.0079E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    041.67    005.65   
      C      6    058.33    094.35   
 ====================================
 Bragg Correction = 1.27%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Iridium      [77] , Mass = 177.9611 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    4.307E-01  2.602E+00      60 A        11 A         8 A   
   1.10 keV   4.517E-01  2.738E+00      62 A        11 A         8 A   
   1.20 keV   4.718E-01  2.867E+00      65 A        12 A         8 A   
   1.30 keV   4.911E-01  2.990E+00      67 A        12 A         8 A   
   1.40 keV   5.096E-01  3.108E+00      69 A        13 A         9 A   
   1.50 keV   5.275E-01  3.221E+00      71 A        13 A         9 A   
   1.60 keV   5.448E-01  3.329E+00      73 A        13 A         9 A   
   1.70 keV   5.616E-01  3.434E+00      75 A        14 A         9 A   
   1.80 keV   5.779E-01  3.535E+00      77 A        14 A        10 A   
   2.00 keV   6.091E-01  3.727E+00      80 A        15 A        10 A   
   2.25 keV   6.461E-01  3.952E+00      85 A        15 A        11 A   
   2.50 keV   6.810E-01  4.161E+00      89 A        16 A        11 A   
   2.75 keV   7.143E-01  4.357E+00      92 A        17 A        12 A   
   3.00 keV   7.460E-01  4.543E+00      96 A        17 A        12 A   
   3.25 keV   7.765E-01  4.718E+00     100 A        18 A        12 A   
   3.50 keV   8.058E-01  4.885E+00     103 A        18 A        13 A   
   3.75 keV   8.341E-01  5.043E+00     106 A        19 A        13 A   
   4.00 keV   8.614E-01  5.195E+00     109 A        19 A        14 A   
