 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 28, 2024 
 ==================================================================

 Disk File Name = range/anthracene/191Ta_in_anthracene.txt

 Ion = Tantalum     [73] , Mass = 190.9715 amu

 Density =  1.2430E+00 g/cm3 = 1.0079E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    041.67    005.65   
      C      6    058.33    094.35   
 ====================================
 Bragg Correction = 1.27%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Tantalum     [73] , Mass = 190.9715 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.442E-01  2.490E+00      67 A        12 A         9 A   
   1.10 keV   2.561E-01  2.619E+00      70 A        13 A         9 A   
   1.20 keV   2.675E-01  2.743E+00      73 A        13 A         9 A   
   1.30 keV   2.784E-01  2.861E+00      75 A        14 A        10 A   
   1.40 keV   2.889E-01  2.973E+00      77 A        14 A        10 A   
   1.50 keV   2.991E-01  3.082E+00      80 A        15 A        10 A   
   1.60 keV   3.089E-01  3.185E+00      82 A        15 A        10 A   
   1.70 keV   3.184E-01  3.286E+00      84 A        15 A        11 A   
   1.80 keV   3.276E-01  3.382E+00      86 A        16 A        11 A   
   2.00 keV   3.453E-01  3.566E+00      90 A        16 A        11 A   
   2.25 keV   3.663E-01  3.781E+00      95 A        17 A        12 A   
   2.50 keV   3.861E-01  3.982E+00      99 A        18 A        12 A   
   2.75 keV   4.049E-01  4.170E+00     104 A        19 A        13 A   
   3.00 keV   4.229E-01  4.347E+00     108 A        19 A        13 A   
   3.25 keV   4.402E-01  4.515E+00     112 A        20 A        14 A   
   3.50 keV   4.568E-01  4.675E+00     115 A        21 A        14 A   
   3.75 keV   4.729E-01  4.827E+00     119 A        21 A        15 A   
   4.00 keV   4.884E-01  4.972E+00     122 A        22 A        15 A   
