 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 28, 2024 
 ==================================================================

 Disk File Name = range/anthracene/239Pa_in_anthracene.txt

 Ion = Proactinium  [91] , Mass = 239.0573 amu

 Density =  1.2430E+00 g/cm3 = 1.0079E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    041.67    005.65   
      C      6    058.33    094.35   
 ====================================
 Bragg Correction = 1.27%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Proactinium  [91] , Mass = 239.0573 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    4.213E-01  2.350E+00      68 A        11 A         7 A   
   1.10 keV   4.418E-01  2.478E+00      71 A        11 A         8 A   
   1.20 keV   4.615E-01  2.600E+00      73 A        12 A         8 A   
   1.30 keV   4.803E-01  2.717E+00      76 A        12 A         8 A   
   1.40 keV   4.984E-01  2.828E+00      78 A        12 A         9 A   
   1.50 keV   5.159E-01  2.936E+00      80 A        13 A         9 A   
   1.60 keV   5.329E-01  3.039E+00      83 A        13 A         9 A   
   1.70 keV   5.493E-01  3.140E+00      85 A        13 A         9 A   
   1.80 keV   5.652E-01  3.236E+00      87 A        14 A         9 A   
   2.00 keV   5.958E-01  3.422E+00      91 A        14 A        10 A   
   2.25 keV   6.319E-01  3.638E+00      95 A        15 A        10 A   
   2.50 keV   6.661E-01  3.842E+00     100 A        16 A        11 A   
   2.75 keV   6.986E-01  4.033E+00     104 A        16 A        11 A   
   3.00 keV   7.296E-01  4.215E+00     108 A        17 A        12 A   
   3.25 keV   7.594E-01  4.387E+00     112 A        17 A        12 A   
   3.50 keV   7.881E-01  4.552E+00     115 A        18 A        12 A   
   3.75 keV   8.158E-01  4.709E+00     119 A        19 A        13 A   
   4.00 keV   8.425E-01  4.860E+00     122 A        19 A        13 A   
