 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 28, 2024 
 ==================================================================

 Disk File Name = range/anthracene/53Cr_in_anthracene.txt

 Ion = Chromium     [24] , Mass = 52.94065 amu

 Density =  1.2430E+00 g/cm3 = 1.0079E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    041.67    005.65   
      C      6    058.33    094.35   
 ====================================
 Bragg Correction = 1.27%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Chromium     [24] , Mass = 52.94065 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.231E-01  2.611E+00      47 A        14 A        11 A   
   1.10 keV   2.340E-01  2.707E+00      49 A        15 A        11 A   
   1.20 keV   2.444E-01  2.796E+00      51 A        16 A        12 A   
   1.30 keV   2.543E-01  2.878E+00      53 A        16 A        12 A   
   1.40 keV   2.639E-01  2.956E+00      56 A        17 A        12 A   
   1.50 keV   2.732E-01  3.028E+00      58 A        17 A        13 A   
   1.60 keV   2.822E-01  3.096E+00      60 A        18 A        13 A   
   1.70 keV   2.909E-01  3.161E+00      62 A        18 A        14 A   
   1.80 keV   2.993E-01  3.222E+00      64 A        19 A        14 A   
   2.00 keV   3.155E-01  3.335E+00      68 A        20 A        15 A   
   2.25 keV   3.346E-01  3.462E+00      72 A        21 A        16 A   
   2.50 keV   3.527E-01  3.576E+00      77 A        22 A        17 A   
   2.75 keV   3.699E-01  3.679E+00      81 A        23 A        18 A   
   3.00 keV   3.864E-01  3.773E+00      85 A        24 A        18 A   
   3.25 keV   4.022E-01  3.859E+00      90 A        25 A        19 A   
   3.50 keV   4.173E-01  3.938E+00      94 A        26 A        20 A   
   3.75 keV   4.320E-01  4.011E+00      98 A        27 A        21 A   
   4.00 keV   4.462E-01  4.079E+00     102 A        28 A        22 A   
