 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 28, 2024 
 ==================================================================

 Disk File Name = range/anthracene/61Ga_in_anthracene.txt

 Ion = Gallium      [31] , Mass = 60.9494 amu

 Density =  1.2430E+00 g/cm3 = 1.0079E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    041.67    005.65   
      C      6    058.33    094.35   
 ====================================
 Bragg Correction = 1.27%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Gallium      [31] , Mass = 60.9494 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.054E-01  2.826E+00      46 A        14 A        10 A   
   1.10 keV   2.154E-01  2.939E+00      48 A        14 A        10 A   
   1.20 keV   2.250E-01  3.044E+00      51 A        15 A        11 A   
   1.30 keV   2.342E-01  3.142E+00      53 A        15 A        11 A   
   1.40 keV   2.430E-01  3.234E+00      55 A        16 A        12 A   
   1.50 keV   2.515E-01  3.321E+00      57 A        16 A        12 A   
   1.60 keV   2.598E-01  3.404E+00      59 A        17 A        13 A   
   1.70 keV   2.678E-01  3.482E+00      60 A        17 A        13 A   
   1.80 keV   2.755E-01  3.556E+00      62 A        18 A        13 A   
   2.00 keV   2.905E-01  3.695E+00      66 A        19 A        14 A   
   2.25 keV   3.081E-01  3.852E+00      70 A        20 A        15 A   
   2.50 keV   3.247E-01  3.995E+00      74 A        21 A        16 A   
   2.75 keV   3.406E-01  4.124E+00      78 A        22 A        16 A   
   3.00 keV   3.557E-01  4.244E+00      82 A        23 A        17 A   
   3.25 keV   3.703E-01  4.354E+00      86 A        23 A        18 A   
   3.50 keV   3.842E-01  4.456E+00      90 A        24 A        19 A   
   3.75 keV   3.977E-01  4.551E+00      93 A        25 A        19 A   
   4.00 keV   4.108E-01  4.640E+00      97 A        26 A        20 A   
