 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 28, 2024 
 ==================================================================

 Disk File Name = range/anthracene/77Zr_in_anthracene.txt

 Ion = Zirconium    [40] , Mass = 76.96608 amu

 Density =  1.2430E+00 g/cm3 = 1.0079E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    041.67    005.65   
      C      6    058.33    094.35   
 ====================================
 Bragg Correction = 1.27%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Zirconium    [40] , Mass = 76.96608 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.843E-01  2.933E+00      48 A        13 A        10 A   
   1.10 keV   1.933E-01  3.060E+00      51 A        14 A        10 A   
   1.20 keV   2.019E-01  3.180E+00      53 A        14 A        10 A   
   1.30 keV   2.101E-01  3.292E+00      55 A        15 A        11 A   
   1.40 keV   2.181E-01  3.398E+00      57 A        15 A        11 A   
   1.50 keV   2.257E-01  3.499E+00      59 A        16 A        12 A   
   1.60 keV   2.331E-01  3.594E+00      61 A        16 A        12 A   
   1.70 keV   2.403E-01  3.685E+00      62 A        17 A        12 A   
   1.80 keV   2.473E-01  3.773E+00      64 A        17 A        13 A   
   2.00 keV   2.606E-01  3.936E+00      68 A        18 A        13 A   
   2.25 keV   2.764E-01  4.123E+00      72 A        19 A        14 A   
   2.50 keV   2.914E-01  4.294E+00      76 A        20 A        15 A   
   2.75 keV   3.056E-01  4.451E+00      80 A        21 A        15 A   
   3.00 keV   3.192E-01  4.596E+00      83 A        21 A        16 A   
   3.25 keV   3.322E-01  4.732E+00      87 A        22 A        17 A   
   3.50 keV   3.448E-01  4.858E+00      90 A        23 A        17 A   
   3.75 keV   3.569E-01  4.977E+00      94 A        24 A        18 A   
   4.00 keV   3.686E-01  5.089E+00      97 A        24 A        18 A   
