 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 28, 2024 
 ==================================================================

 Disk File Name = range/anthracene/97Pd_in_anthracene.txt

 Ion = Palladium    [46] , Mass = 96.91647 amu

 Density =  1.2430E+00 g/cm3 = 1.0079E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    041.67    005.65   
      C      6    058.33    094.35   
 ====================================
 Bragg Correction = 1.27%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Palladium    [46] , Mass = 96.91647 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.854E-01  2.866E+00      53 A        13 A         9 A   
   1.10 keV   1.944E-01  2.997E+00      55 A        14 A        10 A   
   1.20 keV   2.031E-01  3.120E+00      57 A        14 A        10 A   
   1.30 keV   2.113E-01  3.237E+00      59 A        15 A        11 A   
   1.40 keV   2.193E-01  3.348E+00      61 A        15 A        11 A   
   1.50 keV   2.270E-01  3.453E+00      63 A        16 A        11 A   
   1.60 keV   2.345E-01  3.553E+00      65 A        16 A        11 A   
   1.70 keV   2.417E-01  3.649E+00      67 A        16 A        12 A   
   1.80 keV   2.487E-01  3.741E+00      69 A        17 A        12 A   
   2.00 keV   2.621E-01  3.914E+00      72 A        18 A        13 A   
   2.25 keV   2.780E-01  4.113E+00      77 A        18 A        13 A   
   2.50 keV   2.931E-01  4.297E+00      81 A        19 A        14 A   
   2.75 keV   3.074E-01  4.466E+00      85 A        20 A        15 A   
   3.00 keV   3.211E-01  4.624E+00      88 A        21 A        15 A   
   3.25 keV   3.342E-01  4.771E+00      92 A        22 A        16 A   
   3.50 keV   3.468E-01  4.910E+00      95 A        22 A        16 A   
   3.75 keV   3.589E-01  5.040E+00      99 A        23 A        17 A   
   4.00 keV   3.707E-01  5.163E+00     102 A        24 A        18 A   
