 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 28, 2024 
 ==================================================================

 Disk File Name = range/anthracene/98Rh_in_anthracene.txt

 Ion = Rhodium      [45] , Mass = 97.91071 amu

 Density =  1.2430E+00 g/cm3 = 1.0079E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    041.67    005.65   
      C      6    058.33    094.35   
 ====================================
 Bragg Correction = 1.27%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Rhodium      [45] , Mass = 97.91071 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.684E-01  2.836E+00      53 A        13 A        10 A   
   1.10 keV   1.766E-01  2.966E+00      56 A        14 A        10 A   
   1.20 keV   1.845E-01  3.088E+00      58 A        14 A        10 A   
   1.30 keV   1.920E-01  3.203E+00      60 A        15 A        11 A   
   1.40 keV   1.993E-01  3.312E+00      62 A        15 A        11 A   
   1.50 keV   2.063E-01  3.416E+00      64 A        16 A        11 A   
   1.60 keV   2.130E-01  3.515E+00      66 A        16 A        12 A   
   1.70 keV   2.196E-01  3.610E+00      68 A        17 A        12 A   
   1.80 keV   2.259E-01  3.700E+00      70 A        17 A        12 A   
   2.00 keV   2.382E-01  3.871E+00      74 A        18 A        13 A   
   2.25 keV   2.526E-01  4.068E+00      78 A        19 A        14 A   
   2.50 keV   2.663E-01  4.248E+00      82 A        20 A        14 A   
   2.75 keV   2.793E-01  4.415E+00      86 A        20 A        15 A   
   3.00 keV   2.917E-01  4.571E+00      90 A        21 A        15 A   
   3.25 keV   3.036E-01  4.716E+00      93 A        22 A        16 A   
   3.50 keV   3.151E-01  4.852E+00      97 A        23 A        17 A   
   3.75 keV   3.261E-01  4.981E+00     100 A        23 A        17 A   
   4.00 keV   3.368E-01  5.102E+00     104 A        24 A        18 A   
