 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 26, 2024 
 ==================================================================

 Disk File Name = range/ar/10He_in_ar.txt

 Ion = Helium       [2] , Mass = 10.05282 amu

 Density =  1.7800E-03 g/cm3 = 2.6833E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ar     18    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Helium       [2] , Mass = 10.05282 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.134E-02  1.035E-01   18.35 um    16.96 um    13.04 um  
   1.10 keV   3.286E-02  1.040E-01   19.94 um    18.24 um    14.01 um  
   1.20 keV   3.433E-02  1.043E-01   21.54 um    19.51 um    14.96 um  
   1.30 keV   3.573E-02  1.044E-01   23.13 um    20.77 um    15.91 um  
   1.40 keV   3.708E-02  1.045E-01   24.73 um    22.02 um    16.84 um  
   1.50 keV   3.838E-02  1.044E-01   26.33 um    23.26 um    17.76 um  
   1.60 keV   3.964E-02  1.043E-01   27.94 um    24.50 um    18.67 um  
   1.70 keV   4.086E-02  1.042E-01   29.55 um    25.73 um    19.57 um  
   1.80 keV   4.204E-02  1.040E-01   31.16 um    26.96 um    20.47 um  
   2.00 keV   4.431E-02  1.034E-01   34.42 um    29.40 um    22.24 um  
   2.25 keV   4.700E-02  1.025E-01   38.52 um    32.45 um    24.41 um  
   2.50 keV   4.955E-02  1.015E-01   42.65 um    35.48 um    26.54 um  
   2.75 keV   5.196E-02  1.005E-01   46.81 um    38.51 um    28.64 um  
   3.00 keV   5.427E-02  9.936E-02   51.01 um    41.55 um    30.70 um  
   3.25 keV   5.649E-02  9.821E-02   55.24 um    44.36 um    32.89 um  
   3.50 keV   5.862E-02  9.705E-02   59.50 um    47.19 um    35.03 um  
