 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 26, 2024 
 ==================================================================

 Disk File Name = range/ar/114Pd_in_ar.txt

 Ion = Palladium    [46] , Mass = 113.9104 amu

 Density =  1.7800E-03 g/cm3 = 2.6833E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ar     18    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Palladium    [46] , Mass = 113.9104 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.522E-02  1.547E+00    5.73 um     2.63 um     1.92 um  
   1.10 keV   3.694E-02  1.621E+00    5.98 um     2.73 um     1.99 um  
   1.20 keV   3.858E-02  1.690E+00    6.22 um     2.83 um     2.06 um  
   1.30 keV   4.015E-02  1.756E+00    6.45 um     2.93 um     2.13 um  
   1.40 keV   4.167E-02  1.819E+00    6.67 um     3.02 um     2.20 um  
   1.50 keV   4.313E-02  1.878E+00    6.89 um     3.11 um     2.26 um  
   1.60 keV   4.455E-02  1.935E+00    7.10 um     3.19 um     2.32 um  
   1.70 keV   4.592E-02  1.990E+00    7.30 um     3.27 um     2.38 um  
   1.80 keV   4.725E-02  2.043E+00    7.50 um     3.35 um     2.44 um  
   2.00 keV   4.980E-02  2.142E+00    7.88 um     3.51 um     2.55 um  
   2.25 keV   5.283E-02  2.257E+00    8.34 um     3.69 um     2.68 um  
   2.50 keV   5.568E-02  2.363E+00    8.78 um     3.86 um     2.81 um  
   2.75 keV   5.840E-02  2.461E+00    9.20 um     4.02 um     2.93 um  
   3.00 keV   6.100E-02  2.553E+00    9.61 um     4.17 um     3.04 um  
   3.25 keV   6.349E-02  2.639E+00   10.00 um     4.32 um     3.16 um  
   3.50 keV   6.589E-02  2.720E+00   10.39 um     4.46 um     3.26 um  
