 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 26, 2024 
 ==================================================================

 Disk File Name = range/ar/132Xe_in_ar.txt

 Ion = Xenon        [54] , Mass = 131.9042 amu

 Density =  1.7800E-03 g/cm3 = 2.6833E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ar     18    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Xenon        [54] , Mass = 131.9042 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    5.409E-02  1.595E+00    5.87 um     2.51 um     1.84 um  
   1.10 keV   5.673E-02  1.673E+00    6.12 um     2.61 um     1.91 um  
   1.20 keV   5.925E-02  1.747E+00    6.35 um     2.71 um     1.98 um  
   1.30 keV   6.167E-02  1.818E+00    6.58 um     2.79 um     2.04 um  
   1.40 keV   6.400E-02  1.885E+00    6.80 um     2.88 um     2.10 um  
   1.50 keV   6.625E-02  1.950E+00    7.01 um     2.96 um     2.16 um  
   1.60 keV   6.842E-02  2.011E+00    7.22 um     3.04 um     2.22 um  
   1.70 keV   7.053E-02  2.070E+00    7.42 um     3.12 um     2.27 um  
   1.80 keV   7.257E-02  2.127E+00    7.61 um     3.19 um     2.33 um  
   2.00 keV   7.650E-02  2.235E+00    7.99 um     3.34 um     2.43 um  
   2.25 keV   8.114E-02  2.360E+00    8.44 um     3.50 um     2.55 um  
   2.50 keV   8.553E-02  2.476E+00    8.86 um     3.66 um     2.67 um  
   2.75 keV   8.970E-02  2.585E+00    9.27 um     3.81 um     2.78 um  
   3.00 keV   9.369E-02  2.686E+00    9.66 um     3.95 um     2.88 um  
   3.25 keV   9.751E-02  2.781E+00   10.04 um     4.09 um     2.98 um  
   3.50 keV   1.012E-01  2.872E+00   10.41 um     4.22 um     3.08 um  
