 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 26, 2024 
 ==================================================================

 Disk File Name = range/ar/139Sn_in_ar.txt

 Ion = Tin          [50] , Mass = 138.9578 amu

 Density =  1.7800E-03 g/cm3 = 2.6833E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ar     18    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Tin          [50] , Mass = 138.9578 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.055E-02  1.545E+00    6.20 um     2.61 um     1.91 um  
   1.10 keV   3.204E-02  1.621E+00    6.46 um     2.71 um     1.98 um  
   1.20 keV   3.346E-02  1.692E+00    6.71 um     2.80 um     2.05 um  
   1.30 keV   3.483E-02  1.760E+00    6.95 um     2.90 um     2.11 um  
   1.40 keV   3.614E-02  1.825E+00    7.18 um     2.99 um     2.18 um  
   1.50 keV   3.741E-02  1.887E+00    7.41 um     3.07 um     2.24 um  
   1.60 keV   3.864E-02  1.946E+00    7.62 um     3.15 um     2.30 um  
   1.70 keV   3.983E-02  2.003E+00    7.84 um     3.23 um     2.35 um  
   1.80 keV   4.098E-02  2.058E+00    8.04 um     3.31 um     2.41 um  
   2.00 keV   4.320E-02  2.162E+00    8.44 um     3.46 um     2.52 um  
   2.25 keV   4.582E-02  2.282E+00    8.91 um     3.63 um     2.64 um  
   2.50 keV   4.830E-02  2.393E+00    9.37 um     3.79 um     2.76 um  
   2.75 keV   5.066E-02  2.497E+00    9.80 um     3.95 um     2.88 um  
   3.00 keV   5.291E-02  2.594E+00   10.22 um     4.09 um     2.99 um  
   3.25 keV   5.507E-02  2.686E+00   10.62 um     4.24 um     3.09 um  
   3.50 keV   5.715E-02  2.772E+00   11.01 um     4.37 um     3.19 um  
