 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 26, 2024 
 ==================================================================

 Disk File Name = range/ar/141La_in_ar.txt

 Ion = Lanthanum    [57] , Mass = 140.911 amu

 Density =  1.7800E-03 g/cm3 = 2.6833E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ar     18    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Lanthanum    [57] , Mass = 140.911 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.132E-02  1.602E+00    6.07 um     2.55 um     1.87 um  
   1.10 keV   3.284E-02  1.682E+00    6.32 um     2.65 um     1.94 um  
   1.20 keV   3.430E-02  1.758E+00    6.56 um     2.74 um     2.00 um  
   1.30 keV   3.570E-02  1.830E+00    6.79 um     2.83 um     2.07 um  
   1.40 keV   3.705E-02  1.898E+00    7.01 um     2.92 um     2.13 um  
   1.50 keV   3.835E-02  1.964E+00    7.23 um     3.00 um     2.19 um  
   1.60 keV   3.961E-02  2.027E+00    7.44 um     3.08 um     2.24 um  
   1.70 keV   4.083E-02  2.088E+00    7.64 um     3.15 um     2.30 um  
   1.80 keV   4.201E-02  2.146E+00    7.84 um     3.23 um     2.35 um  
   2.00 keV   4.429E-02  2.256E+00    8.22 um     3.37 um     2.46 um  
   2.25 keV   4.697E-02  2.385E+00    8.67 um     3.54 um     2.58 um  
   2.50 keV   4.951E-02  2.504E+00    9.10 um     3.69 um     2.69 um  
   2.75 keV   5.193E-02  2.615E+00    9.52 um     3.84 um     2.80 um  
   3.00 keV   5.424E-02  2.719E+00    9.91 um     3.99 um     2.90 um  
   3.25 keV   5.645E-02  2.818E+00   10.30 um     4.12 um     3.01 um  
   3.50 keV   5.859E-02  2.911E+00   10.67 um     4.25 um     3.10 um  
