 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 26, 2024 
 ==================================================================

 Disk File Name = range/ar/142Pr_in_ar.txt

 Ion = Praseodymium [59] , Mass = 141.91 amu

 Density =  1.7800E-03 g/cm3 = 2.6833E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ar     18    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Praseodymium [59] , Mass = 141.91 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.039E-02  1.616E+00    6.05 um     2.54 um     1.86 um  
   1.10 keV   3.188E-02  1.697E+00    6.30 um     2.63 um     1.93 um  
   1.20 keV   3.330E-02  1.774E+00    6.54 um     2.73 um     2.00 um  
   1.30 keV   3.465E-02  1.847E+00    6.77 um     2.82 um     2.06 um  
   1.40 keV   3.596E-02  1.916E+00    6.99 um     2.90 um     2.12 um  
   1.50 keV   3.723E-02  1.983E+00    7.20 um     2.98 um     2.18 um  
   1.60 keV   3.845E-02  2.047E+00    7.41 um     3.06 um     2.23 um  
   1.70 keV   3.963E-02  2.108E+00    7.61 um     3.14 um     2.29 um  
   1.80 keV   4.078E-02  2.168E+00    7.80 um     3.21 um     2.34 um  
   2.00 keV   4.298E-02  2.280E+00    8.18 um     3.35 um     2.44 um  
   2.25 keV   4.559E-02  2.410E+00    8.63 um     3.52 um     2.56 um  
   2.50 keV   4.806E-02  2.532E+00    9.06 um     3.67 um     2.68 um  
   2.75 keV   5.040E-02  2.645E+00    9.47 um     3.82 um     2.78 um  
   3.00 keV   5.264E-02  2.751E+00    9.86 um     3.96 um     2.89 um  
   3.25 keV   5.479E-02  2.851E+00   10.24 um     4.10 um     2.99 um  
   3.50 keV   5.686E-02  2.946E+00   10.61 um     4.23 um     3.08 um  
