 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 27, 2024 
 ==================================================================

 Disk File Name = range/ar/162Tb_in_ar.txt

 Ion = Terbium      [65] , Mass = 161.9293 amu

 Density =  1.7800E-03 g/cm3 = 2.6833E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ar     18    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Terbium      [65] , Mass = 161.9293 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    7.518E-02  1.616E+00    6.20 um     2.40 um     1.76 um  
   1.10 keV   7.885E-02  1.699E+00    6.45 um     2.50 um     1.83 um  
   1.20 keV   8.236E-02  1.778E+00    6.69 um     2.59 um     1.89 um  
   1.30 keV   8.572E-02  1.852E+00    6.92 um     2.67 um     1.95 um  
   1.40 keV   8.896E-02  1.924E+00    7.14 um     2.75 um     2.01 um  
   1.50 keV   9.208E-02  1.993E+00    7.35 um     2.83 um     2.06 um  
   1.60 keV   9.510E-02  2.058E+00    7.56 um     2.90 um     2.11 um  
   1.70 keV   9.803E-02  2.122E+00    7.76 um     2.97 um     2.17 um  
   1.80 keV   1.009E-01  2.183E+00    7.95 um     3.04 um     2.21 um  
   2.00 keV   1.063E-01  2.299E+00    8.33 um     3.17 um     2.31 um  
   2.25 keV   1.128E-01  2.434E+00    8.78 um     3.33 um     2.42 um  
   2.50 keV   1.189E-01  2.560E+00    9.20 um     3.48 um     2.53 um  
   2.75 keV   1.247E-01  2.678E+00    9.61 um     3.61 um     2.63 um  
   3.00 keV   1.302E-01  2.789E+00    9.99 um     3.75 um     2.72 um  
   3.25 keV   1.355E-01  2.894E+00   10.37 um     3.87 um     2.82 um  
   3.50 keV   1.407E-01  2.994E+00   10.73 um     3.99 um     2.90 um  
