 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 27, 2024 
 ==================================================================

 Disk File Name = range/ar/185Lu_in_ar.txt

 Ion = Lutetium     [71] , Mass = 184.9635 amu

 Density =  1.7800E-03 g/cm3 = 2.6833E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ar     18    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Lutetium     [71] , Mass = 184.9635 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    7.328E-02  1.601E+00    6.54 um     2.39 um     1.75 um  
   1.10 keV   7.686E-02  1.685E+00    6.80 um     2.48 um     1.82 um  
   1.20 keV   8.028E-02  1.765E+00    7.05 um     2.57 um     1.88 um  
   1.30 keV   8.355E-02  1.841E+00    7.28 um     2.65 um     1.94 um  
   1.40 keV   8.671E-02  1.913E+00    7.51 um     2.73 um     1.99 um  
   1.50 keV   8.975E-02  1.983E+00    7.73 um     2.80 um     2.05 um  
   1.60 keV   9.269E-02  2.050E+00    7.95 um     2.88 um     2.10 um  
   1.70 keV   9.555E-02  2.115E+00    8.15 um     2.95 um     2.15 um  
   1.80 keV   9.832E-02  2.177E+00    8.35 um     3.02 um     2.19 um  
   2.00 keV   1.036E-01  2.296E+00    8.74 um     3.15 um     2.29 um  
   2.25 keV   1.099E-01  2.434E+00    9.19 um     3.30 um     2.40 um  
   2.50 keV   1.159E-01  2.564E+00    9.63 um     3.44 um     2.50 um  
   2.75 keV   1.215E-01  2.685E+00   10.04 um     3.58 um     2.59 um  
   3.00 keV   1.269E-01  2.800E+00   10.44 um     3.70 um     2.69 um  
   3.25 keV   1.321E-01  2.908E+00   10.82 um     3.83 um     2.78 um  
   3.50 keV   1.371E-01  3.011E+00   11.19 um     3.94 um     2.86 um  
