 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 27, 2024 
 ==================================================================

 Disk File Name = range/ar/193Bi_in_ar.txt

 Ion = Bismuth      [83] , Mass = 192.9829 amu

 Density =  1.7800E-03 g/cm3 = 2.6833E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ar     18    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Bismuth      [83] , Mass = 192.9829 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    9.438E-02  1.646E+00    6.44 um     2.30 um     1.69 um  
   1.10 keV   9.898E-02  1.734E+00    6.69 um     2.38 um     1.75 um  
   1.20 keV   1.034E-01  1.818E+00    6.93 um     2.47 um     1.81 um  
   1.30 keV   1.076E-01  1.897E+00    7.16 um     2.54 um     1.86 um  
   1.40 keV   1.117E-01  1.974E+00    7.38 um     2.62 um     1.92 um  
   1.50 keV   1.156E-01  2.047E+00    7.59 um     2.69 um     1.97 um  
   1.60 keV   1.194E-01  2.118E+00    7.79 um     2.76 um     2.02 um  
   1.70 keV   1.231E-01  2.186E+00    7.99 um     2.83 um     2.06 um  
   1.80 keV   1.266E-01  2.252E+00    8.19 um     2.89 um     2.11 um  
   2.00 keV   1.335E-01  2.378E+00    8.56 um     3.02 um     2.20 um  
   2.25 keV   1.416E-01  2.525E+00    9.00 um     3.16 um     2.30 um  
   2.50 keV   1.492E-01  2.662E+00    9.41 um     3.30 um     2.39 um  
   2.75 keV   1.565E-01  2.792E+00    9.81 um     3.43 um     2.49 um  
   3.00 keV   1.635E-01  2.914E+00   10.19 um     3.55 um     2.57 um  
   3.25 keV   1.701E-01  3.030E+00   10.55 um     3.67 um     2.66 um  
   3.50 keV   1.766E-01  3.140E+00   10.90 um     3.78 um     2.74 um  
