 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 27, 2024 
 ==================================================================

 Disk File Name = range/ar/222Th_in_ar.txt

 Ion = Thorium      [90] , Mass = 222.0185 amu

 Density =  1.7800E-03 g/cm3 = 2.6833E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ar     18    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Thorium      [90] , Mass = 222.0185 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    8.646E-02  1.609E+00    6.89 um     2.31 um     1.70 um  
   1.10 keV   9.068E-02  1.696E+00    7.15 um     2.39 um     1.76 um  
   1.20 keV   9.471E-02  1.780E+00    7.40 um     2.48 um     1.81 um  
   1.30 keV   9.858E-02  1.859E+00    7.64 um     2.55 um     1.87 um  
   1.40 keV   1.023E-01  1.935E+00    7.87 um     2.63 um     1.92 um  
   1.50 keV   1.059E-01  2.009E+00    8.09 um     2.70 um     1.97 um  
   1.60 keV   1.094E-01  2.080E+00    8.31 um     2.77 um     2.02 um  
   1.70 keV   1.127E-01  2.148E+00    8.52 um     2.84 um     2.07 um  
   1.80 keV   1.160E-01  2.214E+00    8.72 um     2.90 um     2.11 um  
   2.00 keV   1.223E-01  2.340E+00    9.10 um     3.02 um     2.20 um  
   2.25 keV   1.297E-01  2.488E+00    9.56 um     3.17 um     2.30 um  
   2.50 keV   1.367E-01  2.627E+00    9.99 um     3.30 um     2.39 um  
   2.75 keV   1.434E-01  2.758E+00   10.40 um     3.43 um     2.48 um  
   3.00 keV   1.498E-01  2.882E+00   10.80 um     3.55 um     2.57 um  
   3.25 keV   1.559E-01  2.999E+00   11.17 um     3.66 um     2.65 um  
   3.50 keV   1.618E-01  3.111E+00   11.54 um     3.77 um     2.73 um  
