 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 26, 2024 
 ==================================================================

 Disk File Name = range/ar/25N_in_ar.txt

 Ion = Nitrogen     [7] , Mass = 25.0601 amu

 Density =  1.7800E-03 g/cm3 = 2.6833E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ar     18    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Nitrogen     [7] , Mass = 25.0601 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    4.540E-02  4.738E-01    7.95 um     5.87 um     4.32 um  
   1.10 keV   4.761E-02  4.852E-01    8.49 um     6.23 um     4.57 um  
   1.20 keV   4.973E-02  4.955E-01    9.02 um     6.58 um     4.80 um  
   1.30 keV   5.176E-02  5.048E-01    9.54 um     6.93 um     5.04 um  
   1.40 keV   5.372E-02  5.132E-01   10.05 um     7.27 um     5.26 um  
   1.50 keV   5.560E-02  5.209E-01   10.56 um     7.61 um     5.48 um  
   1.60 keV   5.742E-02  5.280E-01   11.07 um     7.94 um     5.70 um  
   1.70 keV   5.919E-02  5.345E-01   11.57 um     8.27 um     5.91 um  
   1.80 keV   6.091E-02  5.405E-01   12.06 um     8.55 um     6.15 um  
   2.00 keV   6.420E-02  5.512E-01   13.04 um     9.15 um     6.59 um  
   2.25 keV   6.810E-02  5.625E-01   14.25 um     9.88 um     7.12 um  
   2.50 keV   7.178E-02  5.720E-01   15.45 um    10.60 um     7.64 um  
   2.75 keV   7.528E-02  5.800E-01   16.63 um    11.31 um     8.14 um  
   3.00 keV   7.863E-02  5.869E-01   17.80 um    12.01 um     8.64 um  
   3.25 keV   8.184E-02  5.928E-01   18.96 um    12.70 um     9.13 um  
   3.50 keV   8.493E-02  5.978E-01   20.12 um    13.38 um     9.61 um  
