 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 26, 2024 
 ==================================================================

 Disk File Name = range/ar/26F_in_ar.txt

 Ion = Fluorine     [9] , Mass = 26.02005 amu

 Density =  1.7800E-03 g/cm3 = 2.6833E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ar     18    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Fluorine     [9] , Mass = 26.02005 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    4.091E-02  5.612E-01    7.01 um     5.23 um     3.87 um  
   1.10 keV   4.290E-02  5.763E-01    7.47 um     5.54 um     4.09 um  
   1.20 keV   4.481E-02  5.900E-01    7.92 um     5.84 um     4.29 um  
   1.30 keV   4.664E-02  6.025E-01    8.36 um     6.14 um     4.49 um  
   1.40 keV   4.840E-02  6.140E-01    8.80 um     6.43 um     4.69 um  
   1.50 keV   5.010E-02  6.246E-01    9.23 um     6.71 um     4.88 um  
   1.60 keV   5.175E-02  6.343E-01    9.65 um     6.99 um     5.07 um  
   1.70 keV   5.334E-02  6.434E-01   10.07 um     7.27 um     5.25 um  
   1.80 keV   5.488E-02  6.518E-01   10.49 um     7.54 um     5.43 um  
   2.00 keV   5.785E-02  6.669E-01   11.31 um     8.08 um     5.79 um  
   2.25 keV   6.136E-02  6.833E-01   12.32 um     8.69 um     6.25 um  
   2.50 keV   6.468E-02  6.974E-01   13.31 um     9.30 um     6.69 um  
   2.75 keV   6.784E-02  7.096E-01   14.29 um     9.90 um     7.12 um  
   3.00 keV   7.086E-02  7.203E-01   15.26 um    10.48 um     7.54 um  
   3.25 keV   7.375E-02  7.297E-01   16.23 um    11.06 um     7.95 um  
   3.50 keV   7.653E-02  7.379E-01   17.18 um    11.63 um     8.35 um  
