 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 26, 2024 
 ==================================================================

 Disk File Name = range/ar/40P_in_ar.txt

 Ion = Phosphorus   [15] , Mass = 39.99126 amu

 Density =  1.7800E-03 g/cm3 = 2.6833E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ar     18    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Phosphorus   [15] , Mass = 39.99126 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    4.689E-02  8.804E-01    5.82 um     3.87 um     2.77 um  
   1.10 keV   4.918E-02  9.102E-01    6.15 um     4.06 um     2.91 um  
   1.20 keV   5.137E-02  9.376E-01    6.48 um     4.25 um     3.04 um  
   1.30 keV   5.346E-02  9.630E-01    6.80 um     4.43 um     3.17 um  
   1.40 keV   5.548E-02  9.867E-01    7.11 um     4.61 um     3.30 um  
   1.50 keV   5.743E-02  1.009E+00    7.42 um     4.78 um     3.43 um  
   1.60 keV   5.931E-02  1.029E+00    7.72 um     4.94 um     3.55 um  
   1.70 keV   6.114E-02  1.049E+00    8.02 um     5.11 um     3.67 um  
   1.80 keV   6.291E-02  1.067E+00    8.31 um     5.27 um     3.78 um  
   2.00 keV   6.631E-02  1.101E+00    8.89 um     5.58 um     4.01 um  
   2.25 keV   7.033E-02  1.138E+00    9.59 um     5.95 um     4.29 um  
   2.50 keV   7.414E-02  1.172E+00   10.27 um     6.32 um     4.56 um  
   2.75 keV   7.776E-02  1.202E+00   10.94 um     6.67 um     4.81 um  
   3.00 keV   8.122E-02  1.229E+00   11.59 um     7.01 um     5.06 um  
   3.25 keV   8.453E-02  1.253E+00   12.24 um     7.35 um     5.31 um  
   3.50 keV   8.772E-02  1.275E+00   12.87 um     7.68 um     5.55 um  
