 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 26, 2024 
 ==================================================================

 Disk File Name = range/ar/49Ni_in_ar.txt

 Ion = Nickel       [28] , Mass = 49.00916 amu

 Density =  1.7800E-03 g/cm3 = 2.6833E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ar     18    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Nickel       [28] , Mass = 49.00916 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.551E-02  1.234E+00    4.85 um     3.16 um     2.26 um  
   1.10 keV   2.676E-02  1.283E+00    5.10 um     3.30 um     2.36 um  
   1.20 keV   2.794E-02  1.329E+00    5.34 um     3.44 um     2.46 um  
   1.30 keV   2.909E-02  1.373E+00    5.58 um     3.57 um     2.55 um  
   1.40 keV   3.018E-02  1.414E+00    5.81 um     3.70 um     2.65 um  
   1.50 keV   3.124E-02  1.452E+00    6.03 um     3.82 um     2.73 um  
   1.60 keV   3.227E-02  1.488E+00    6.25 um     3.94 um     2.82 um  
   1.70 keV   3.326E-02  1.523E+00    6.47 um     4.06 um     2.91 um  
   1.80 keV   3.423E-02  1.556E+00    6.68 um     4.17 um     2.99 um  
   2.00 keV   3.608E-02  1.617E+00    7.09 um     4.39 um     3.15 um  
   2.25 keV   3.826E-02  1.687E+00    7.59 um     4.66 um     3.34 um  
   2.50 keV   4.033E-02  1.750E+00    8.07 um     4.91 um     3.53 um  
   2.75 keV   4.230E-02  1.807E+00    8.54 um     5.15 um     3.71 um  
   3.00 keV   4.418E-02  1.860E+00    9.00 um     5.39 um     3.88 um  
   3.25 keV   4.599E-02  1.909E+00    9.45 um     5.62 um     4.05 um  
   3.50 keV   4.772E-02  1.954E+00    9.89 um     5.84 um     4.21 um  
