 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 26, 2024 
 ==================================================================

 Disk File Name = range/ar/7Be_in_ar.txt

 Ion = Beryllium    [4] , Mass = 7.016929 amu

 Density =  1.7800E-03 g/cm3 = 2.6833E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ar     18    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Beryllium    [4] , Mass = 7.016929 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    4.097E-02  1.344E-01   11.19 um    13.12 um     9.95 um  
   1.10 keV   4.297E-02  1.362E-01   12.09 um    14.03 um    10.65 um  
   1.20 keV   4.488E-02  1.378E-01   12.98 um    14.91 um    11.33 um  
   1.30 keV   4.671E-02  1.391E-01   13.86 um    15.79 um    12.00 um  
   1.40 keV   4.848E-02  1.403E-01   14.74 um    16.65 um    12.66 um  
   1.50 keV   5.018E-02  1.413E-01   15.62 um    17.51 um    13.31 um  
   1.60 keV   5.182E-02  1.421E-01   16.50 um    18.35 um    13.95 um  
   1.70 keV   5.342E-02  1.428E-01   17.38 um    19.19 um    14.59 um  
   1.80 keV   5.497E-02  1.435E-01   18.25 um    20.02 um    15.22 um  
   2.00 keV   5.794E-02  1.444E-01   20.01 um    21.66 um    16.47 um  
   2.25 keV   6.146E-02  1.452E-01   22.20 um    23.68 um    18.01 um  
   2.50 keV   6.478E-02  1.456E-01   24.40 um    25.67 um    19.52 um  
   2.75 keV   6.794E-02  1.458E-01   26.60 um    27.64 um    21.01 um  
   3.00 keV   7.096E-02  1.458E-01   28.80 um    29.59 um    22.48 um  
   3.25 keV   7.386E-02  1.456E-01   31.01 um    31.53 um    23.93 um  
   3.50 keV   7.665E-02  1.452E-01   33.24 um    33.45 um    25.37 um  
