 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 26, 2024 
 ==================================================================

 Disk File Name = range/ar/94Cd_in_ar.txt

 Ion = Cadmium      [48] , Mass = 93.95659 amu

 Density =  1.7800E-03 g/cm3 = 2.6833E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ar     18    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Cadmium      [48] , Mass = 93.95659 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.910E-02  1.591E+00    5.19 um     2.61 um     1.90 um  
   1.10 keV   4.100E-02  1.666E+00    5.42 um     2.71 um     1.97 um  
   1.20 keV   4.283E-02  1.736E+00    5.64 um     2.81 um     2.05 um  
   1.30 keV   4.458E-02  1.803E+00    5.86 um     2.91 um     2.11 um  
   1.40 keV   4.626E-02  1.866E+00    6.06 um     3.00 um     2.18 um  
   1.50 keV   4.788E-02  1.927E+00    6.26 um     3.09 um     2.24 um  
   1.60 keV   4.945E-02  1.985E+00    6.46 um     3.17 um     2.31 um  
   1.70 keV   5.098E-02  2.040E+00    6.65 um     3.26 um     2.37 um  
   1.80 keV   5.245E-02  2.093E+00    6.83 um     3.34 um     2.42 um  
   2.00 keV   5.529E-02  2.194E+00    7.19 um     3.49 um     2.54 um  
   2.25 keV   5.864E-02  2.309E+00    7.61 um     3.67 um     2.67 um  
   2.50 keV   6.182E-02  2.416E+00    8.02 um     3.84 um     2.79 um  
   2.75 keV   6.483E-02  2.515E+00    8.42 um     4.01 um     2.92 um  
   3.00 keV   6.772E-02  2.607E+00    8.80 um     4.16 um     3.03 um  
   3.25 keV   7.048E-02  2.694E+00    9.16 um     4.31 um     3.14 um  
   3.50 keV   7.314E-02  2.776E+00    9.52 um     4.46 um     3.25 um  
