 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 26, 2024 
 ==================================================================

 Disk File Name = range/au/106Sb_in_au.txt

 Ion = Antimony     [51] , Mass = 105.9286 amu

 Density =  1.9311E+01 g/cm3 = 5.9040E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Au     79    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Antimony     [51] , Mass = 105.9286 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.244E-02  3.918E-01       9 A        10 A         7 A   
   1.10 keV   1.305E-02  4.123E-01      10 A        10 A         8 A   
   1.20 keV   1.363E-02  4.317E-01      10 A        10 A         8 A   
   1.30 keV   1.419E-02  4.502E-01      11 A        11 A         8 A   
   1.40 keV   1.472E-02  4.679E-01      11 A        11 A         9 A   
   1.50 keV   1.524E-02  4.849E-01      11 A        11 A         9 A   
   1.60 keV   1.574E-02  5.012E-01      12 A        12 A         9 A   
   1.70 keV   1.622E-02  5.170E-01      12 A        12 A         9 A   
   1.80 keV   1.669E-02  5.322E-01      12 A        12 A         9 A   
   2.00 keV   1.760E-02  5.611E-01      13 A        13 A        10 A   
   2.25 keV   1.867E-02  5.949E-01      14 A        13 A        10 A   
   2.50 keV   1.968E-02  6.264E-01      14 A        14 A        11 A   
   2.75 keV   2.064E-02  6.559E-01      15 A        15 A        11 A   
   3.00 keV   2.155E-02  6.838E-01      16 A        15 A        12 A   
   3.25 keV   2.243E-02  7.102E-01      16 A        16 A        12 A   
   3.50 keV   2.328E-02  7.352E-01      17 A        16 A        13 A   
   3.75 keV   2.410E-02  7.591E-01      18 A        17 A        13 A   
   4.00 keV   2.489E-02  7.819E-01      18 A        17 A        13 A   
   4.50 keV   2.640E-02  8.248E-01      19 A        18 A        14 A   
