 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 26, 2024 
 ==================================================================

 Disk File Name = range/au/109Ag_in_au.txt

 Ion = Silver       [47] , Mass = 108.9048 amu

 Density =  1.9311E+01 g/cm3 = 5.9040E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Au     79    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Silver       [47] , Mass = 108.9048 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.013E-02  3.872E-01      10 A        10 A         7 A   
   1.10 keV   2.111E-02  4.073E-01      10 A        10 A         8 A   
   1.20 keV   2.205E-02  4.263E-01      10 A        10 A         8 A   
   1.30 keV   2.295E-02  4.445E-01      11 A        11 A         8 A   
   1.40 keV   2.381E-02  4.618E-01      11 A        11 A         8 A   
   1.50 keV   2.465E-02  4.784E-01      12 A        11 A         9 A   
   1.60 keV   2.546E-02  4.944E-01      12 A        12 A         9 A   
   1.70 keV   2.624E-02  5.098E-01      12 A        12 A         9 A   
   1.80 keV   2.700E-02  5.247E-01      13 A        12 A         9 A   
   2.00 keV   2.846E-02  5.529E-01      13 A        13 A        10 A   
   2.25 keV   3.019E-02  5.859E-01      14 A        13 A        10 A   
   2.50 keV   3.182E-02  6.166E-01      15 A        14 A        11 A   
   2.75 keV   3.337E-02  6.454E-01      15 A        15 A        11 A   
   3.00 keV   3.486E-02  6.725E-01      16 A        15 A        12 A   
   3.25 keV   3.628E-02  6.981E-01      17 A        16 A        12 A   
   3.50 keV   3.765E-02  7.225E-01      17 A        16 A        13 A   
   3.75 keV   3.897E-02  7.457E-01      18 A        17 A        13 A   
   4.00 keV   4.025E-02  7.678E-01      19 A        17 A        13 A   
   4.50 keV   4.269E-02  8.094E-01      20 A        18 A        14 A   
